TestID,FDS,Workflow,Precondition,Step,Expected Result,Result,Witness,Date,Notes
FAT-MACH-010,FDS-05-022,Machining OUT consume-mint,A machined line has open Good castings at its cell and a published SubAssembly BOM consuming that casting,Trigger Machining OUT for a piece count and scan a fresh LTT,"A new SubAssembly part-number LOT is minted (its own PieceCount, status, location) carrying a genealogy edge back to the source casting",,,,"Machining OUT is a consume-MINT (Workorder.MachiningOut_Mint), not a rename and not a plain same-part split"
FAT-MACH-020,FDS-05-009,Machining OUT consume-mint,Multiple open same-part castings sit at the cell with different arrival times,Mint a SubAssembly for a quantity spanning more than one casting,"Consumption is strict oldest-first (FIFO arrival order) across all open same-part castings at the cell, rolling into the next as each empties; no casting is driven negative",,,,
FAT-MACH-030,FDS-05-009,Machining OUT consume-mint,A mint consumes two source castings,Complete the mint and inspect genealogy,"One ConsumptionEvent + Consumption genealogy edge + closure row is written per source casting (multi-parent traceability); minted LOT is named <oldest-casting-LTT>-NN",,,,
FAT-MACH-040,FDS-05-009,Machining OUT consume-mint,The source casting is a child line on line-eligible published SubAssembly BOM(s),Trigger the mint without specifying a produced part,"The produced SubAssembly part is auto-derived via BOM child->parent + line eligibility; if more than one producible part matches, the mint is rejected until a ProducedItemId is specified",,,,
FAT-MACH-050,FDS-05-010,Partial-remainder handling,Requested mint exceeds producible pieces from available castings; partial not allowed,Request a mint larger than can be produced,"Mint is rejected and the system reports Available = the maximum producible quantity",,,,
FAT-MACH-060,FDS-05-010,Partial-remainder handling,Requested mint exceeds producible pieces; partial allowed,Request the oversized mint with partial allowed,"System mints floor(totalAvailable / QtyPer); the un-consumed balance stays on the open source castings for a later draw",,,,
FAT-MACH-070,FDS-05-011,Genealogy permanence,A minted SubAssembly LOT with a recorded consume-mint,Open the genealogy view and trace both directions,"Minted LOT -> source castings and casting -> minted children are both queryable; the genealogy edge + closure are permanent and immutable",,,,"Machining OUT edges are Consumption (RelationshipTypeId=3), not Split, in the current consume-mint model"
FAT-MACH-080,FDS-05-033,Machining IN FIFO claim,A trimmed LOT sits in local Trim Storage and is eligible for this line,Pick/claim the LOT at Machining IN,"The SAME LOT is claimed onto the line and a MachiningIn checkpoint ProductionEvent is recorded; the LOT keeps its identity, item, status and piece count - NO new LOT, NO ConsumptionEvent, NO rename at IN",,,,"Trim->Machining rename-via-1-line-BOM is RETIRED; identity change now happens at the Machining OUT mint (FDS-05-009). FDS-05-033 title is stale."
FAT-MACH-090,FDS-06-007,Machining IN FIFO claim,Trimmed LOTs deposited in this shop's Trim Storage,Inspect the line's Machining IN queue,"Queue surfaces the Trim-Storage LOTs eligible for this line, ordered FIFO by arrival (LotMovement.MovedAt)",,,,
FAT-MACH-100,FDS-06-007,Machining IN FIFO claim,An eligible LOT shows in the Machining IN queue,Claim the next LOT to this line,"In one transaction the whole LOT is moved Trim Storage -> line and a MachiningIn checkpoint is written; the LOT then drops off every other line's queue",,,,
FAT-MACH-110,FDS-06-007,Machining IN FIFO claim,Two lines see the same Trim-Storage LOT and another line claims it first,Attempt to claim the already-claimed LOT,"Claim is rejected cleanly (LOT was just claimed by another line); no checkpoint written",,,,
FAT-MACH-120,FDS-06-007,Machining IN FIFO claim,A Trim-Storage LOT whose part is NOT eligible at this line,Attempt to claim it to this line,"Claim is rejected - the part is not eligible at this line (authoritative server-side gate)",,,,
FAT-MACH-130,FDS-06-009,Machining production event,A LOT in process at a machining line,Record a machining production event (submit counters),"A Workorder.ProductionEvent checkpoint is written against the LOT with cumulative counters, operator, terminal and timestamp",,,,
FAT-MACH-140,FDS-06-009,Machining production event,Recording a machining event with rejects,Enter one or more defect codes with reject quantities and submit,A RejectEvent row is written for each defect code used,,,,
FAT-MACH-150,FDS-06-022,Work orders (background),Machining screen open,Look for any operator-facing Work Order create/select/login on the machining screen,"None present - Production work orders are auto-generated background bookkeeping, invisible to operators",,,,conditional / background - MVP-LITE
FAT-MACH-160,FDS-06-023,Work orders (background),Database access to the Workorder schema,Inspect the Workorder.WorkOrder table structure,"Schema carries WorkOrderType, ItemId, RouteTemplateId, ToolId (nullable), WorkOrderStatus; work-order operations track per route step",,,,conditional / schema-only
FAT-MACH-170,FDS-06-024,Work orders (background),A LOT processed through machining with no work order,Record production/consumption/reject evidence and inspect the rows,"ProductionEvent / ConsumptionEvent / RejectEvent are written with WorkOrderOperationId NULL - the evidence layer functions standalone",,,,conditional / background
FAT-MACH-180,FDS-06-025,Work orders (background),Fresh migrated database,Query Workorder.WorkOrderType,"Exactly one active row is seeded: Production; Demand and Maintenance are FUTURE and NOT seeded",,,,conditional
FAT-MACH-190,FDS-06-030,Work orders (background),Database access to Workorder.WorkOrder,Inspect the shipped columns against the live-flag decision,"Only Flexware flags confirmed live with MPP ship as columns; dead flags are absent",,,,conditional - Phase 0 live-vs-dead confirmation
FAT-MACH-200,FDS-06-008,Machining OUT branch,A machining line configured to mint a SubAssembly,Trigger Machining OUT for the line,"Machining OUT mints the SubAssembly via route-driven consume-mint; mints are line-resident",,,,"FDS-06-008 title mentions auto-move to a coupled assembly cell — that cell-coupling mechanism is RETIRED; no cell->cell auto-move"
