Id,Version,MaterialID,Material,MaterialClass,IsFinishedGood
155,10,229,11200-5J6 -A110,5J6 Finished Goods,1
157,00,227,11200-5MH -A000,Offsite Finished Goods,1
239,1,358,11200-6FB -A000,6FB Finished Goods,1
160,00,238,11200-P8A-A00,Offsite Finished Goods,1
159,00,236,11200-PGE-A00,Offsite Finished Goods,1
161,00,239,11200-RDJ-A00,Offsite Finished Goods,1
108,10 01,147,1120A-5AA -A010,5K8 Finished Goods,1
153,00-02,219,1120A-5LA -A000,Offsite Finished Goods,1
139,10 01,193,1120A-5PA -A010,5PA Finished Goods,1
197,00 02,304,1120A-64A -A000,64A Finished Goods,1
249,02,371,1120A-69F -A000,6C2/6MA Finished Goods,1
178,01 01,273,1120A-6C2 -A000,6C2/6MA Finished Goods,1
179,01,274,1120A-6L2 -A010,6C2/6MA Finished Goods,1
156,10,228,1120R-5J6 -A010,Offsite Finished Goods,1
196,10,298,11300-6S9 -A010,Offsite Finished Goods,1
181,00,281,11300-P8A-A00,Offsite Finished Goods,1
180,01 01,279,11300-R70 -A000,Offsite Finished Goods,1
182,00,282,11300-RCA-A00,Offsite Finished Goods,1
171,0301,258,12230-P8A -A000,Offsite Finished Goods,1
183, ,285,12231-59B -0001,59B Finished Goods,1
210,1,318,12231-6MA -J000,6MA Finished Goods,1
174,00,261,12231-R1A -A000,Offsite Finished Goods,1
184, ,286,12232-59B -0001,59B Finished Goods,1
211,1,319,12232-6MA -J000,6MA Finished Goods,1
173,00,262,12232-R1A -A000,Offsite Finished Goods,1
185, ,287,12233-59B -0001,59B Finished Goods,1
212,1,320,12233-6MA -J000,6MA Finished Goods,1
186, ,288,12234-59B -0001,59B Finished Goods,1
213,1,321,12234-6MA -J000,6MA Finished Goods,1
187, ,289,12235-59B -0001,59B Finished Goods,1
229,01,344,12235-6FB -A000,6FB Finished Goods,1
214,1,322,12235-6MA -J000,6MA Finished Goods,1
172,00,263,12235-R1A -A000,Offsite Finished Goods,1
72,00,106,12236-R1A -A000,Offsite Finished Goods,1
274,00,399,1223A-59B -A000,Offsite Finished Goods,1
141, 00,177,1223A-59B -A0002,59B Finished Goods,1
129,00,177,1223A-59B -A0002,59B Finished Goods,1
96,00,130,1223A-5BA -A000,RPY Finished Goods,1
164,00,247,1223A-6B2- A000,RPY Finished Goods,1
236,00,355,1223A-6MA -J000,6MA Finished Goods,1
93,00 02,127,1223A-RPY -G000,RPY Finished Goods,1
188, ,290,12241-59B -0001,59B Finished Goods,1
215,1,323,12241-6MA -J000,6MA Finished Goods,1
189, ,291,12242-59B -0001,59B Finished Goods,1
216,1,324,12242-6MA -J000,6MA Finished Goods,1
190, ,292,12243-59B -0001,59B Finished Goods,1
217,1,325,12243-6MA -J000,6MA Finished Goods,1
191, ,293,12244-59B -0001,59B Finished Goods,1
218,1,326,12244-6MA -J000,6MA Finished Goods,1
192, ,294,12245-59B -0001,59B Finished Goods,1
219,1,327,12245-6MA -J000,6MA Finished Goods,1
44,00  02,75,1226A-5A2 -A000,5A2 Finished Goods,1
46,00  01,99,1226B-5B0 -Y000,5A2 Finished Goods,1
107,04,145,12270-59B -0000A,59B Finished Goods,1
284,01,415,12270-59B -A000,Offsite Finished Goods,1
302,00,437,12270-5A2 -A010,Offsite Finished Goods,1
65,13,103,12270-5A2 -A0101,5A2 Finished Goods,1
105,00,141,12270-5BA -A000,RPY Finished Goods,1
111,00,160,12270-5BA-A010,5BA Finished Goods,1
285,02,416,12270-5PA -A000,Offsite Finished Goods,1
135,02,186,12270-5PA -A0001,5PA Finished Goods,1
296,1,431,12270-66V -A001 ,66V Finished Goods,1
286,1,418,12270-66VT-A000,Offsite Finished Goods,1
288,1,419,12270-6B2 -A000,Offsite Finished Goods,1
163,00,242,12270-6B2 -A000B,6B2 Finished Goods,1
241,00,362,12270-6MA -J000,Offsite Finished Goods,1
255,00,379,12270-6MD -A000,Offsite Finished Goods,1
242,01,365,12270-6NA -0001,59B Finished Goods,1
282,00,414,12270-6NA -0100,59B Finished Goods,1
270,00,394,12270-6NA -A000,Offsite Finished Goods,1
251,00,373,12270-6NA -A000 DNU,5PA Finished Goods,1
269,00,393,12270-6VJ -A000,Offsite Finished Goods,1
262,00,387,12270-6VJ -A000 DNU,5PA Finished Goods,1
287,1,421,12270-RPY -G000,Offsite Finished Goods,1
100,01,135,12270-RPY -G001,RPY Finished Goods,1
232,04,349,12431-6FB -A000,6FB Finished Goods,1
43,01  05,69,14650-5G0 -A000,5G0 Finished Goods,1
3,00  05,16,14660-5G0 -A000,5G0 Finished Goods,1
256,00,380,14850-6MD -A000,Offsite Finished Goods,1
253,01,377,17145-6MD -A000,Offsite Finished Goods,1
254,00,378,18711-6MD -A000,Offsite Finished Goods,1
112,00,161,19311-59B -0000,Offsite Finished Goods,1
259,00,383,19311-6MD -J000,Offsite Finished Goods,1
99,10,134,19315-RNA -A000,Offsite Finished Goods,1
114,03,163,19320-59B -0000,Offsite Finished Goods,1
113,02,162,19320-5AA -A000,Offsite Finished Goods,1
169,11,254,19320-6A0 -A010,Offsite Finished Goods,1
170,11,255,19320-6A0 -A510,Offsite Finished Goods,1
257,00,381,19320-6MD -A000,Offsite Finished Goods,1
158,11,234,19321-5A2 -A010,Offsite Finished Goods,1
116,00,164,19321-5BA -A000,Offsite Finished Goods,1
145,00,204,19321-5BF -G000,Offsite Finished Goods,1
198,00,305,19321-64S -A000,Offsite Finished Goods,1
221, 00,334,19321-66V -A000,Offsite Finished Goods,1
313,00,449,19321-66V -A100,Offsite Finished Goods,1
167,10 01,250,19321-6B2 A010,Offsite Finished Goods,1
168,21,252,19321-6B2 -A520,Offsite Finished Goods,1
71,03,105,19321-R4H -A000,Offsite Finished Goods,1
146,02,206,19321-R4H -G000,Offsite Finished Goods,1
101,10,137,19321-RPY -G010,Offsite Finished Goods,1
220,01,328,1932A-69F -A000 ,Offsite Finished Goods,1
134,00,183,19410-59B -0100,Offsite Finished Goods,1
166,02,246,19410-6A0 -A000,Offsite Finished Goods,1
258,01,382,19410-6MD -A000,Offsite Finished Goods,1
103,02 01,139,1941A-RPY -G000,Offsite Finished Goods,1
148,00,215,21230-RV2 -A000,Offsite Finished Goods,1
147,00,209,21255-RT4 -0000,Offsite Finished Goods,1
137,01,188,22533-RJ2 -0000,Offsite Finished Goods,1
144,00 03,203,22790-5MX -A000,Offsite Finished Goods,1
177,00 01,272,22790-5MX -A010,Offsite Finished Goods,1
176,00 01,269,22790-5YK -0000,Offsite Finished Goods,1
194,10,297,38930-RPY -E000 (DO NOT USE),RPY Finished Goods,1
102,10,138,38930-RPY -E010,Offsite Finished Goods,1
140,00,194,44512-SZA -A000,Offsite Finished Goods,1
149,02,217,44513-TK8-A002,Offsite Finished Goods,1
104,00,140,46939-TA9 -G000,Offsite Finished Goods,1
175,01,268,48731-5YP -0000,Offsite Finished Goods,1
289,0,423,6620-0078-9040a,Offsite Finished Goods,1
290,2,424,6620-0079 -0060,Offsite Finished Goods,1
291,01,425,6620-0079 -2020,Offsite Finished Goods,1
