Id,BomID,BomForMaterial,ParentCompId,ComponentMaterialId,ComponentMaterial,ComponentClass,Quantity,UnitOfMeasure
76,3,14660-5G0 -A000,NULL,56,12231-5G0,5G0 Components,1.000000,NULL
77,3,14660-5G0 -A000,NULL,57,12232-5G0,5G0 Components,2.000000,NULL
78,3,14660-5G0 -A000,NULL,58,12233-5G0,5G0 Components,1.000000,NULL
79,3,14660-5G0 -A000,NULL,70,P146205G0 A000,5G0 Components,3.000000,NULL
80,3,14660-5G0 -A000,NULL,71,P146245G0 A000,5G0 Components,3.000000,NULL
81,3,14660-5G0 -A000,NULL,72,P146275G0 A000,5G0 Components,3.000000,NULL
82,3,14660-5G0 -A000,NULL,73,146335G0 A000  ,5G0 Components,1.000000,NULL
83,3,14660-5G0 -A000,NULL,74,146345G0 A000  ,5G0 Components,1.000000,NULL
84,3,14660-5G0 -A000,NULL,64,P90002-5G0-A000,5G0 Components,10.000000,NULL
85,3,14660-5G0 -A000,NULL,65,90701-5G0 -A000,5G0 Components,7.000000,NULL
199,3,14660-5G0 -A000,NULL,16,14660-5G0 -A000,5G0 Finished Goods,1.000000,NULL
63,43,14650-5G0 -A000,NULL,56,12231-5G0,5G0 Components,1.000000,NULL
64,43,14650-5G0 -A000,NULL,57,12232-5G0,5G0 Components,2.000000,NULL
65,43,14650-5G0 -A000,NULL,58,12233-5G0,5G0 Components,1.000000,NULL
66,43,14650-5G0 -A000,NULL,59,P146405G0 A000,5G0 Components,3.000000,NULL
67,43,14650-5G0 -A000,NULL,60,P146125G0 A000,5G0 Components,3.000000,NULL
68,43,14650-5G0 -A000,NULL,61,P146145G0 A000,5G0 Components,3.000000,NULL
69,43,14650-5G0 -A000,NULL,63,146325G0 A000   ,5G0 Components,1.000000,NULL
70,43,14650-5G0 -A000,NULL,64,P90002-5G0-A000,5G0 Components,10.000000,NULL
71,43,14650-5G0 -A000,NULL,65,90701-5G0 -A000,5G0 Components,7.000000,NULL
72,43,14650-5G0 -A000,NULL,66,90004PE2 0050  ,5G0 Components,1.000000,NULL
73,43,14650-5G0 -A000,NULL,67,P146455G0 A000,5G0 Components,3.000000,NULL
74,43,14650-5G0 -A000,NULL,68,14646R70 A000  ,5G0 Components,6.000000,NULL
75,43,14650-5G0 -A000,NULL,62,146315G0 A000   ,5G0 Components,1.000000,NULL
198,43,14650-5G0 -A000,NULL,69,14650-5G0 -A000,5G0 Finished Goods,1.000000,NULL
86,44,1226A-5A2 -A000,NULL,82,12231-5A2,5A2 Components,1.000000,NULL
87,44,1226A-5A2 -A000,NULL,83,12232-5A2,5A2 Components,1.000000,NULL
88,44,1226A-5A2 -A000,NULL,84,12233-5A2,5A2 Components,1.000000,NULL
89,44,1226A-5A2 -A000,NULL,85,12234-5A2,5A2 Components,1.000000,NULL
90,44,1226A-5A2 -A000,NULL,86,12235-5A2,5A2 Components,1.000000,NULL
91,44,1226A-5A2 -A000,NULL,87,12241-5A2,5A2 Components,1.000000,NULL
92,44,1226A-5A2 -A000,NULL,88,12243-5A2,5A2 Components,1.000000,NULL
93,44,1226A-5A2 -A000,NULL,89,12244-5A2,5A2 Components,1.000000,NULL
94,44,1226A-5A2 -A000,NULL,90,12245-5A2,5A2 Components,1.000000,NULL
95,44,1226A-5A2 -A000,NULL,91,12246-5A2,5A2 Components,1.000000,NULL
96,44,1226A-5A2 -A000,NULL,77,12261-5A2,5A2 Components,1.000000,NULL
97,44,1226A-5A2 -A000,NULL,78,12262-5A2,5A2 Components,1.000000,NULL
98,44,1226A-5A2 -A000,NULL,79,12263-5A2,5A2 Components,1.000000,NULL
99,44,1226A-5A2 -A000,NULL,75,1226A-5A2 -A000,5A2 Finished Goods,1.000000,NULL
100,44,1226A-5A2 -A000,NULL,81,12265-5A2,5A2 Components,1.000000,NULL
101,44,1226A-5A2 -A000,NULL,92,90701-5A2-A000,5A2 Components,31.000000,NULL
102,44,1226A-5A2 -A000,NULL,93,90702-5A2-A000,5A2 Components,1.000000,NULL
103,44,1226A-5A2 -A000,NULL,94,96211-08000,5A2 Components,2.000000,NULL
196,44,1226A-5A2 -A000,NULL,80,12264-5A2,5A2 Components,1.000000,NULL
