Domain,Id,Name,DisplayName,Extra
ContainerState,1,CREATED,Created,NULL
ContainerState,2,FINISHED,Finished,NULL
Disposition,1,GOOD,Good,NULL
Disposition,2,BAD,Bad,NULL
Disposition,3,HOLD,Hold,NULL
Disposition,4,DELETED,Deleted,NULL
LotAttribute,1,DIE NAME,Die Name,NULL
LotAttribute,2,CAVITY NAME,Cavity Name,NULL
LotState,1,CREATED,Created,NULL
LotState,2,STARTED,Started,NULL
LotState,3,COMPLETED,Completed,NULL
LotState,4,FINISHED,Finished,NULL
LotState,5,SCRAPPED,Scrapped,NULL
LotTransactionType,1,CREATED,Created,NULL
LotTransactionType,2,STARTED,Started,NULL
LotTransactionType,3,COMPLETED,Completed,NULL
LotTransactionType,4,FINISHED,Finished,NULL
LotTransactionType,5,SCRAPPED,Scrapped,NULL
LotTransactionType,6,ADJUSTED,Adjusted,NULL
MaterialClass,12,5G0 Finished Goods,NULL,IsFinishedGood=1
MaterialClass,35,5A2 Finished Goods,NULL,IsFinishedGood=1
MaterialClass,36,5G0 Components,NULL,IsFinishedGood=0
MaterialClass,37,5A2 Components,NULL,IsFinishedGood=0
MaterialClass,41,RPY Components,NULL,IsFinishedGood=0
MaterialClass,42,Offsite Finished Goods,NULL,IsFinishedGood=1
MaterialClass,43,RPY Finished Goods,NULL,IsFinishedGood=1
MaterialClass,44,59B Finished Goods,NULL,IsFinishedGood=1
MaterialClass,45,59B Components,NULL,IsFinishedGood=0
MaterialClass,48,5K8 Finished Goods,NULL,IsFinishedGood=1
MaterialClass,49,5K8 Components,NULL,IsFinishedGood=0
MaterialClass,50,5BA Components,NULL,IsFinishedGood=0
MaterialClass,51,5BA Finished Goods,NULL,IsFinishedGood=1
MaterialClass,52,5PA Finished Goods,NULL,IsFinishedGood=1
MaterialClass,53,5PA Components,NULL,IsFinishedGood=0
MaterialClass,54,Offsite Components,NULL,IsFinishedGood=0
MaterialClass,56,6B2 Finished Goods,NULL,IsFinishedGood=1
MaterialClass,57,6B2 Components,NULL,IsFinishedGood=0
MaterialClass,58,6C2/6MA Finished Goods,NULL,IsFinishedGood=1
MaterialClass,59,6C2/6MA Components,NULL,IsFinishedGood=0
MaterialClass,60,64A Components,NULL,IsFinishedGood=0
MaterialClass,61,64A Finished Goods,NULL,IsFinishedGood=1
MaterialClass,63,6MA Components,NULL,IsFinishedGood=0
MaterialClass,64,6MA Finished Goods,NULL,IsFinishedGood=1
MaterialClass,65,5J6 Finished Goods,NULL,IsFinishedGood=1
MaterialClass,66,5J6 Components,NULL,IsFinishedGood=0
MaterialClass,67,6FB Components,NULL,IsFinishedGood=0
MaterialClass,68,6FB Finished Goods,NULL,IsFinishedGood=1
MaterialClass,75,6MD Finished Goods,NULL,IsFinishedGood=0
MaterialClass,76,6MD Components,NULL,IsFinishedGood=0
MaterialClass,83,66V Finished Goods,NULL,IsFinishedGood=1
MaterialClass,84,66V Components,NULL,IsFinishedGood=0
MaterialClass,86,Astemo Components,NULL,IsFinishedGood=0
MaterialClass,87,Astemo Finished Goods,NULL,IsFinishedGood=0
Privilege,16,AREA_ADD,Area add,NULL
Privilege,17,AREA_DELETE,Area delete,NULL
Privilege,18,AREA_SAVE,Area save,NULL
Privilege,19,AREA_VIEW,Area view,NULL
Privilege,20,BILL_OF_MATERIAL_ADD,Bill of material add,NULL
Privilege,21,BILL_OF_MATERIAL_COPY,Bill of material copy,NULL
Privilege,22,BILL_OF_MATERIAL_DELETE,Bill of material delete,NULL
Privilege,23,BILL_OF_MATERIAL_VIEW,Bill of material view,NULL
Privilege,24,CONTAINER_ADD,Container add,NULL
Privilege,25,CONTAINER_ADD_LOT,Container add lot,NULL
Privilege,26,CONTAINER_ADD_SERIALIZED_ITEM,Container add serialized item,NULL
Privilege,27,CONTAINER_DELETE,Container delete,NULL
Privilege,28,CONTAINER_FINISH,Container finish,NULL
Privilege,29,CONTAINER_PRINT_LABEL,Container print label,NULL
Privilege,30,CONTAINER_REMOVE_LOT,Container remove lot,NULL
Privilege,31,CONTAINER_REMOVE_SERIALIZED_ITEM,Container remove serialized item,NULL
Privilege,32,CONTAINER_SAVE,Container save,NULL
Privilege,33,CONTAINER_SCRAP,Container scrap,NULL
Privilege,34,CONTAINER_SEARCH,Container search,NULL
Privilege,35,CONTAINER_VIEW,Container view,NULL
Privilege,36,DASHBOARD_ADD,Dashboard add,NULL
Privilege,37,DASHBOARD_DELETE,Dashboard delete,NULL
Privilege,38,DASHBOARD_RESEQUENCE,Dashboard resequence,NULL
Privilege,39,DASHBOARD_SAVE,Dashboard save,NULL
Privilege,40,DASHBOARD_VIEW,Dashboard view,NULL
Privilege,41,LABEL_PRINTER_ADD,Label printer add,NULL
Privilege,42,LABEL_PRINTER_DELETE,Label printer delete,NULL
Privilege,43,LABEL_PRINTER_SAVE,Label printer save,NULL
Privilege,44,LABEL_PRINTER_VIEW,Label printer view,NULL
Privilege,45,LABEL_TEMPLATE_VIEW,Label template view,NULL
Privilege,46,LOT_ADD,Lot add,NULL
Privilege,47,LOT_COMPLETE_AT_LOCATION,Lot complete at location,NULL
Privilege,48,LOT_DELETE,Lot delete,NULL
Privilege,49,LOT_FINISH,Lot finish,NULL
Privilege,50,LOT_PRINT_LABEL,Lot print label,NULL
Privilege,51,LOT_SAVE,Lot save,NULL
Privilege,52,LOT_SCRAP_FROM_INVENTORY,Lot scrap from inventory,NULL
Privilege,53,LOT_SCRAP_FROM_LOCATION,Lot scrap from location,NULL
Privilege,54,LOT_SEARCH,Lot search,NULL
Privilege,55,LOT_START_AT_LOCATION,Lot start at location,NULL
Privilege,56,LOT_VIEW,Lot view,NULL
Privilege,57,MATERIAL_ADD,Material add,NULL
Privilege,58,MATERIAL_ALLOCATION_ADD,Material allocation add,NULL
Privilege,59,MATERIAL_ALLOCATION_DELETE,Material allocation delete,NULL
Privilege,60,MATERIAL_ALLOCATION_RESEQUENCE,Material allocation resequence,NULL
Privilege,61,MATERIAL_ALLOCATION_SAVE,Material allocation save,NULL
Privilege,62,MATERIAL_ALLOCATION_VIEW,Material allocation view,NULL
Privilege,63,MATERIAL_CLASS_ADD,Material class add,NULL
Privilege,64,MATERIAL_CLASS_DELETE,Material class delete,NULL
Privilege,65,MATERIAL_CLASS_SAVE,Material class save,NULL
Privilege,66,MATERIAL_CLASS_VIEW,Material class view,NULL
Privilege,67,MATERIAL_COPY,Material copy,NULL
Privilege,68,MATERIAL_DELETE,Material delete,NULL
Privilege,69,MATERIAL_SAVE,Material save,NULL
Privilege,70,MATERIAL_VIEW,Material view,NULL
Privilege,71,MATERIAL_WORK_CELL_ADD,Material-work cell add,NULL
Privilege,72,MATERIAL_WORK_CELL_DELETE,Material-work cell delete,NULL
Privilege,73,MATERIAL_WORK_CELL_SAVE,Material-work cell save,NULL
Privilege,74,MATERIAL_WORK_CELL_VIEW,Material-work cell view,NULL
Privilege,75,PRODUCTION_LINE_ADD,Production line add,NULL
Privilege,76,PRODUCTION_LINE_DELETE,Production line delete,NULL
Privilege,77,PRODUCTION_LINE_SAVE,Production line save,NULL
Privilege,78,PRODUCTION_LINE_VIEW,Production line view,NULL
Privilege,79,PRODUCTION_ORDER_ADD,Production order add,NULL
Privilege,80,PRODUCTION_ORDER_DELETE,Production order delete,NULL
Privilege,81,PRODUCTION_ORDER_SAVE,Production order save,NULL
Privilege,82,PRODUCTION_ORDER_VIEW,Production order view,NULL
Privilege,83,ROLE_ACTIVE_DIRECTORY_GROUP_ADD,Role active directory group add,NULL
Privilege,84,ROLE_ACTIVE_DIRECTORY_GROUP_DELETE,Role active directory group delete,NULL
Privilege,85,ROLE_ADD,Role add,NULL
Privilege,86,ROLE_DELETE,Role delete,NULL
Privilege,87,ROLE_SAVE,Role save,NULL
Privilege,88,ROLE_VIEW,Role view,NULL
Privilege,89,SERIALIZED_ITEM_ADD,Serialized item add,NULL
Privilege,90,SERIALIZED_ITEM_SAVE,Serialized item save,NULL
