Id	Name	Description	Task	Line	OpcServer	AccessPath	OPCItemID	Trigger	TriggerArg1	TriggerArg2	IsMessageHandler	ReactOnStartup	Active
17	100 - Net Weight Update	Net weight has been updated by scale	Fuel Pump Assembly	59B Line 1 - Fuel Pump 1 Assembly	OmniServer		59B_1_FP_1.NET_DataReady	EQ	1		0	0	1
18	050 - Target Weight Change	Notify the scale that a new target weight is required	Fuel Pump Assembly	59B Line 1 - Fuel Pump 1 Assembly	NULL	NULL	NULL	EQ	1		1	0	0
2	200 - Data Ready		Cam Holder Assembly	5A2 Line 1 - Cam Holder Assembly	TOP Server	5A2_L1_CamHolderAssy.ProfaceLT_3300	DataReady	EQ	1		0	0	1
8	200 - Data Ready		Fuel Pump Assembly	5A2 Line 1 - Fuel Pump Assembly	TOP Server	5A2_L1_FuelPumpAssy.ProfaceLT_3300	DataReady	EQ	1		0	0	1
9	200 - Data Ready		Cam Holder Assembly	5A2 Line 2 - Cam Holder Assembly	TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	DataReady	EQ	1		0	0	1
10	200 - Data Ready		Fuel Pump Assembly	5A2 Line 2 - Fuel Pump Assembly	TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	EQ	1		0	0	1
64	003 - Container Count Request		Assembly 1	5G0 - Line 1	TOP Server		5G0_A1.5G0_A1.ContainerCountRequest	EQ	1		0	0	1
65	200 - Data Ready		Assembly 1	5G0 - Line 1	TOP Server		5G0_A1.5G0_A1.DataReady	EQ	1		0	0	1
66	300 - Net Weight Update	Net weight has been updated by scale	Assembly 1	5G0 - Line 1	OmniServer		5G0_Front_Scale.NET_DataReady	EQ	1		0	0	1
67	400 - Process Part	Process the serialized part & add it to the container	Assembly 1	5G0 - Line 1	TOP Server		5G0_A1.5G0_A1.PartComplete	EQ	1		0	0	1
72	003 - Container Count Request		Assembly 2	5G0 - Line 2	TOP Server		5G0_A2.5G0_A2.ContainerCountRequest	EQ	1		0	0	1
