Line	Task	Event	EventID	EventTrigger	TriggerArg1	TriggerArg2	EventServer	EventAccessPath	EventItem	ReactOnStartup	Step	Action	Kind	ActionServer	ActionAccessPath	ActionItem	ScriptID	Active
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	10	Initialize Local Variables	SCRIPT	NULL	NULL	NULL	28	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	100	Get Net Weight Value	READ	OmniServer		59B_1_FP_1.NET_NetWeightValue	NULL	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	110	Get Net Weight UOM	READ	OmniServer		59B_1_FP_1.NET_NetWeightUOM	NULL	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	120	Get Target Weight Met Flag	READ	OmniServer		59B_1_FP_1.NET_TargetWeightMetFlag	NULL	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	125	Get Part Number	READ	OmniServer		59B_1_FP_1.NET_PartNumber	NULL	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	130	Clear Net Weight Data Ready	WRITE	OmniServer		59B_1_FP_1.NET_DataReady	NULL	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	140	Clear Net Weight Value	WRITE	OmniServer		59B_1_FP_1.NET_NetWeightValue	NULL	0
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	142	Clear Net Weight UOM	WRITE	OmniServer		59B_1_FP_1.NET_NetWeightUOM	NULL	0
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	144	Clear Target Weight Met Flag	WRITE	OmniServer		59B_1_FP_1.NET_TargetWeightMetFlag	NULL	0
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	171	Verify Part	SCRIPT	NULL	NULL	NULL	82	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	200	[BEGIN] Net Weight Msg	SCRIPT	NULL	NULL	NULL	29	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	210	Send Weight to MES	SCRIPT	NULL	NULL	NULL	30	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	299	[END] Net Weight Msg	SCRIPT	NULL	NULL	NULL	31	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	300	[BEGIN] Process Tote	SCRIPT	NULL	NULL	NULL	32	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	310	Process Tote	SCRIPT	NULL	NULL	NULL	33	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	100 - Net Weight Update	17	EQ	1		OmniServer		59B_1_FP_1.NET_DataReady	0	399	[END] Process Tote	SCRIPT	NULL	NULL	NULL	34	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	050 - Target Weight Change	18	EQ	1		NULL	NULL	NULL	0	1	Message Handler Initialize	SCRIPT	NULL	NULL	NULL	35	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	050 - Target Weight Change	18	EQ	1		NULL	NULL	NULL	0	10	Initialize Local Variables	SCRIPT	NULL	NULL	NULL	36	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	050 - Target Weight Change	18	EQ	1		NULL	NULL	NULL	0	100	Write Target Weight Value	WRITE	OmniServer		59B_1_FP_1.TRG_TargetWeightValue	NULL	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	050 - Target Weight Change	18	EQ	1		NULL	NULL	NULL	0	110	Write Target Weight UOM	WRITE	OmniServer		59B_1_FP_1.TRG_TargetWeightUOM	NULL	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	050 - Target Weight Change	18	EQ	1		NULL	NULL	NULL	0	120	Write Tolerance Weight Value	WRITE	OmniServer		59B_1_FP_1.TRG_ToleranceWeightValue	NULL	1
59B Line 1 - Fuel Pump 1 Assembly	Fuel Pump Assembly	050 - Target Weight Change	18	EQ	1		NULL	NULL	NULL	0	190	Send Target Weight Change To Scale	WRITE	OmniServer		59B_1_FP_1.TRG_SendMessage	NULL	1
5A2 Line 1 - Cam Holder Assembly	Cam Holder Assembly	200 - Data Ready	2	EQ	1		TOP Server	5A2_L1_CamHolderAssy.ProfaceLT_3300	DataReady	0	20	Set Transaction In Process	WRITE	TOP Server	5A2_L1_CamHolderAssy.ProfaceLT_3300	TransInProc	NULL	1
