ServerName	BasePath	Member	Directions	AccessPath	SampleOpcItemId
OmniServer	59B_1_FP_1	NET_DataReady	WT		59B_1_FP_1.NET_DataReady
OmniServer	59B_1_FP_1	NET_NetWeightUOM	RW		59B_1_FP_1.NET_NetWeightUOM
OmniServer	59B_1_FP_1	NET_NetWeightValue	RW		59B_1_FP_1.NET_NetWeightValue
OmniServer	59B_1_FP_1	NET_PartNumber	R		59B_1_FP_1.NET_PartNumber
OmniServer	59B_1_FP_1	NET_TargetWeightMetFlag	RW		59B_1_FP_1.NET_TargetWeightMetFlag
OmniServer	59B_1_FP_1	TRG_SendMessage	W		59B_1_FP_1.TRG_SendMessage
OmniServer	59B_1_FP_1	TRG_TargetWeightUOM	W		59B_1_FP_1.TRG_TargetWeightUOM
OmniServer	59B_1_FP_1	TRG_TargetWeightValue	W		59B_1_FP_1.TRG_TargetWeightValue
OmniServer	59B_1_FP_1	TRG_ToleranceWeightValue	W		59B_1_FP_1.TRG_ToleranceWeightValue
OmniServer	5G0_Front_Scale	NET_DataReady	RWT		5G0_Front_Scale.NET_DataReady
OmniServer	5G0_Front_Scale	NET_NetWeightUOM	RW		5G0_Front_Scale.NET_NetWeightUOM
OmniServer	5G0_Front_Scale	NET_NetWeightValue	RW		5G0_Front_Scale.NET_NetWeightValue
OmniServer	5G0_Front_Scale	NET_TargetWeightMetFlag	RW		5G0_Front_Scale.NET_TargetWeightMetFlag
OmniServer	5G0_Rear_Scale	NET_DataReady	WT		5G0_Rear_Scale.NET_DataReady
OmniServer	5G0_Rear_Scale	NET_NetWeightUOM	RW		5G0_Rear_Scale.NET_NetWeightUOM
OmniServer	5G0_Rear_Scale	NET_NetWeightValue	RW		5G0_Rear_Scale.NET_NetWeightValue
OmniServer	5G0_Rear_Scale	NET_TargetWeightMetFlag	RW		5G0_Rear_Scale.NET_TargetWeightMetFlag
OmniServer	5PA_1_FP_1	NET_DataReady	WT		5PA_1_FP_1.NET_DataReady
OmniServer	5PA_1_FP_1	NET_NetWeightUOM	RW		5PA_1_FP_1.NET_NetWeightUOM
OmniServer	5PA_1_FP_1	NET_NetWeightValue	RW		5PA_1_FP_1.NET_NetWeightValue
OmniServer	5PA_1_FP_1	NET_TargetWeightMetFlag	RW		5PA_1_FP_1.NET_TargetWeightMetFlag
OmniServer	5PA_1_FP_1	TRG_SendMessage	W		5PA_1_FP_1.TRG_SendMessage
OmniServer	5PA_1_FP_1	TRG_TargetWeightUOM	W		5PA_1_FP_1.TRG_TargetWeightUOM
OmniServer	5PA_1_FP_1	TRG_TargetWeightValue	W		5PA_1_FP_1.TRG_TargetWeightValue
OmniServer	5PA_1_FP_1	TRG_ToleranceWeightValue	W		5PA_1_FP_1.TRG_ToleranceWeightValue
OmniServer	6B2_1_FP_1	NET_DataReady	WT		6B2_1_FP_1.NET_DataReady
OmniServer	6B2_1_FP_1	NET_NetWeightUOM	RW		6B2_1_FP_1.NET_NetWeightUOM
OmniServer	6B2_1_FP_1	NET_NetWeightValue	RW		6B2_1_FP_1.NET_NetWeightValue
OmniServer	6B2_1_FP_1	NET_TargetWeightMetFlag	RW		6B2_1_FP_1.NET_TargetWeightMetFlag
OmniServer	6B2_1_FP_1	TRG_SendMessage	W		6B2_1_FP_1.TRG_SendMessage
OmniServer	6B2_1_FP_1	TRG_TargetWeightUOM	W		6B2_1_FP_1.TRG_TargetWeightUOM
OmniServer	6B2_1_FP_1	TRG_TargetWeightValue	W		6B2_1_FP_1.TRG_TargetWeightValue
OmniServer	6B2_1_FP_1	TRG_ToleranceWeightValue	W		6B2_1_FP_1.TRG_ToleranceWeightValue
OmniServer	RPY_1_CB_1	NET_DataReady	WT		RPY_1_CB_1.NET_DataReady
OmniServer	RPY_1_CB_1	NET_NetWeightUOM	RW		RPY_1_CB_1.NET_NetWeightUOM
OmniServer	RPY_1_CB_1	NET_NetWeightValue	RW		RPY_1_CB_1.NET_NetWeightValue
OmniServer	RPY_1_CB_1	NET_TargetWeightMetFlag	RW		RPY_1_CB_1.NET_TargetWeightMetFlag
OmniServer	RPY_1_CB_1	TRG_SendMessage	W		RPY_1_CB_1.TRG_SendMessage
OmniServer	RPY_1_CB_1	TRG_TargetWeightUOM	W		RPY_1_CB_1.TRG_TargetWeightUOM
OmniServer	RPY_1_CB_1	TRG_TargetWeightValue	W		RPY_1_CB_1.TRG_TargetWeightValue
OmniServer	RPY_1_CB_1	TRG_ToleranceWeightValue	W		RPY_1_CB_1.TRG_ToleranceWeightValue
OmniServer	RPY_1_FP_1	NET_DataReady	WT		RPY_1_FP_1.NET_DataReady
OmniServer	RPY_1_FP_1	NET_NetWeightUOM	RW		RPY_1_FP_1.NET_NetWeightUOM
OmniServer	RPY_1_FP_1	NET_NetWeightValue	RW		RPY_1_FP_1.NET_NetWeightValue
OmniServer	RPY_1_FP_1	NET_TargetWeightMetFlag	RW		RPY_1_FP_1.NET_TargetWeightMetFlag
OmniServer	RPY_1_FP_1	TRG_SendMessage	W		RPY_1_FP_1.TRG_SendMessage
OmniServer	RPY_1_FP_1	TRG_TargetWeightUOM	W		RPY_1_FP_1.TRG_TargetWeightUOM
OmniServer	RPY_1_FP_1	TRG_TargetWeightValue	W		RPY_1_FP_1.TRG_TargetWeightValue
OmniServer	RPY_1_FP_1	TRG_ToleranceWeightValue	W		RPY_1_FP_1.TRG_ToleranceWeightValue
TOP Server	5A2_L1_CamHolderAssy.ProfaceLT_3300	DataReady	WT	5A2_L1_CamHolderAssy.ProfaceLT_3300	DataReady
TOP Server	5A2_L1_CamHolderAssy.ProfaceLT_3300	MESAlarmText	W	5A2_L1_CamHolderAssy.ProfaceLT_3300	MESAlarmText
TOP Server	5A2_L1_CamHolderAssy.ProfaceLT_3300	MESAlarmType	W	5A2_L1_CamHolderAssy.ProfaceLT_3300	MESAlarmType
TOP Server	5A2_L1_CamHolderAssy.ProfaceLT_3300	PartType	W	5A2_L1_CamHolderAssy.ProfaceLT_3300	PartType
TOP Server	5A2_L1_CamHolderAssy.ProfaceLT_3300	PartValid	W	5A2_L1_CamHolderAssy.ProfaceLT_3300	PartValid
TOP Server	5A2_L1_CamHolderAssy.ProfaceLT_3300	TransInProc	W	5A2_L1_CamHolderAssy.ProfaceLT_3300	TransInProc
TOP Server	5A2_L1_FuelPumpAssy.ProfaceLT_3300	DataReady	WT	5A2_L1_FuelPumpAssy.ProfaceLT_3300	DataReady
TOP Server	5A2_L1_FuelPumpAssy.ProfaceLT_3300	MESAlarmText	W	5A2_L1_FuelPumpAssy.ProfaceLT_3300	MESAlarmText
TOP Server	5A2_L1_FuelPumpAssy.ProfaceLT_3300	MESAlarmType	W	5A2_L1_FuelPumpAssy.ProfaceLT_3300	MESAlarmType
TOP Server	5A2_L1_FuelPumpAssy.ProfaceLT_3300	PartType	W	5A2_L1_FuelPumpAssy.ProfaceLT_3300	PartType
TOP Server	5A2_L1_FuelPumpAssy.ProfaceLT_3300	PartValid	W	5A2_L1_FuelPumpAssy.ProfaceLT_3300	PartValid
TOP Server	5A2_L1_FuelPumpAssy.ProfaceLT_3300	TransInProc	W	5A2_L1_FuelPumpAssy.ProfaceLT_3300	TransInProc
TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	DataReady	WT	5A2_L2_CamHolderAssy.ProfaceLT_3300	DataReady
TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	MESAlarmText	W	5A2_L2_CamHolderAssy.ProfaceLT_3300	MESAlarmText
TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	MESAlarmType	W	5A2_L2_CamHolderAssy.ProfaceLT_3300	MESAlarmType
TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	PartType	W	5A2_L2_CamHolderAssy.ProfaceLT_3300	PartType
TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	PartValid	W	5A2_L2_CamHolderAssy.ProfaceLT_3300	PartValid
TOP Server	5A2_L2_CamHolderAssy.ProfaceLT_3300	TransInProc	W	5A2_L2_CamHolderAssy.ProfaceLT_3300	TransInProc
TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	WT	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady
TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	MESAlarmText	W	5A2_L2_FuelPumpAssy.ProfaceLT_3300	MESAlarmText
TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	MESAlarmType	W	5A2_L2_FuelPumpAssy.ProfaceLT_3300	MESAlarmType
TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	PartType	W	5A2_L2_FuelPumpAssy.ProfaceLT_3300	PartType
TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	PartValid	W	5A2_L2_FuelPumpAssy.ProfaceLT_3300	PartValid
TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	TransInProc	W	5A2_L2_FuelPumpAssy.ProfaceLT_3300	TransInProc
TOP Server	5G0_A1.5G0_A1	ContainerCount	RW		5G0_A1.5G0_A1.ContainerCount
