ForeignKeyName,ParentTable,ParentColumn,ReferencedTable,ReferencedColumn
FK_Action_Event,em.Action,EventID,em.Event,EventID
FK_Action_OPCRead,em.Action,OPCReadID,em.OPCRead,OPCReadID
FK_Action_OPCWrite,em.Action,OPCWriteID,em.OPCWrite,OPCWriteID
FK_Action_Script,em.Action,ScriptID,em.Script,ScriptID
FK_ActionInput_Action,em.ActionInput,ActionID,em.Action,ActionID
FK_ActionInput_ActionOutput,em.ActionInput,ActionOutputID,em.ActionOutput,ActionOutputID
FK_ActionOutput_Action,em.ActionOutput,ActionID,em.Action,ActionID
FK_ActionOutput_Event,em.ActionOutput,EventID,em.Event,EventID
FK_Event_OPCServer,em.Event,OPCServerID,em.OPCServer,OPCServerID
FK_Event_Task,em.Event,TaskID,em.Task,TaskID
FK_Event_TriggerOperation,em.Event,TriggerOperationID,em.TriggerOperation,TriggerOperationID
FK_Line_Plant,em.Line,PlantID,em.Plant,PlantID
FK_Log_Action_Log_Event,em.Log_Action,Log_EventID,em.Log_Event,Log_EventID
FK_Action_OPCRead_OPCServer,em.OPCRead,OPCServerID,em.OPCServer,OPCServerID
FK_OPCServer_Plant,em.OPCServer,PlantID,em.Plant,PlantID
FK_Action_OPCWriteID_OPCServer,em.OPCWrite,OPCServerID,em.OPCServer,OPCServerID
FK_Task_Line,em.Task,LineID,em.Line,LineID
FK_Action_Event,emperf.Action,EventID,emperf.Event,EventID
FK_ActionData_Action,emperf.ActionData,ActionPerfID,emperf.Action,ActionPerfID
FK_ActionData_Event,emperf.ActionData,EventPerfID,emperf.Event,EventPerfID
FK_ActionData_Line,emperf.ActionData,LinePerfID,emperf.Line,LinePerfID
FK_ActionData_Plant,emperf.ActionData,PlantPerfID,emperf.Plant,PlantPerfID
FK_ActionData_Task,emperf.ActionData,TaskPerfID,emperf.Task,TaskPerfID
FK_Event_Task,emperf.Event,TaskID,emperf.Task,TaskID
FK_EventData_Event,emperf.EventData,EventPerfID,emperf.Event,EventPerfID
FK_EventData_Line,emperf.EventData,LinePerfID,emperf.Line,LinePerfID
FK_EventData_Plant,emperf.EventData,PlantPerfID,emperf.Plant,PlantPerfID
FK_EventData_Task,emperf.EventData,TaskPerfID,emperf.Task,TaskPerfID
FK_Line_Plant,emperf.Line,PlantID,emperf.Plant,PlantID
FK_Task_Line,emperf.Task,LineID,emperf.Line,LineID
