SchemaName,TableName,ApproxRows,ColumnCount,CreatedUtc,ModifiedUtc
em,Log_Action,94903149,7,2009-07-08 16:21:12.510,2018-12-23 02:33:53.530
em,Log_Event,15702973,8,2009-07-08 16:21:12.567,2018-12-23 02:33:58.393
em,Log_Message,2599346,5,2009-07-08 16:21:12.567,2020-09-06 02:37:48.823
emperf,ActionData,126901,10,2014-01-24 11:18:31.300,2018-12-02 10:15:23.340
emperf,MessageData,21979,6,2014-01-24 11:18:31.313,2018-12-02 10:15:24.050
emperf,EventData,15447,9,2014-01-24 11:18:31.280,2018-12-02 10:15:23.547
emperf,Action,754,4,2014-01-24 11:18:31.277,2018-12-02 10:15:21.770
em,ActionOutput,346,4,2009-07-08 16:21:12.507,2018-12-02 10:07:44.090
em,Action,336,9,2009-07-08 16:21:12.503,2018-12-02 10:07:43.973
em,ActionInput,320,5,2009-07-08 16:21:12.503,2018-12-02 10:07:44.013
em,Script,143,3,2009-07-08 16:21:12.573,2018-12-02 10:15:21.610
em,OPCWrite,132,5,2009-07-08 16:21:12.573,2018-12-02 10:15:21.477
emperf,Event,87,4,2014-01-24 11:18:31.270,2018-12-02 10:15:23.363
em,OPCRead,61,4,2009-07-08 16:21:12.570,2018-12-02 10:15:21.370
em,Event,46,13,2009-07-08 16:21:13.343,2018-12-02 10:07:44.177
emperf,Task,33,4,2014-01-24 11:18:31.270,2018-12-02 10:15:24.160
emperf,Line,30,4,2014-01-24 11:18:31.267,2018-12-02 10:15:23.573
em,Line,22,5,2009-07-08 16:21:12.510,2018-12-02 10:07:44.327
em,Task,22,5,2009-07-08 16:21:12.577,2018-12-02 10:15:21.660
em,TriggerOperation,9,5,2009-07-08 16:21:12.580,2018-12-02 10:15:21.690
em,OPCServer,2,8,2009-07-08 16:21:12.570,2018-12-02 10:15:21.420
emperf,ProcessingHistory,2,2,2014-01-24 11:18:31.280,2014-01-24 11:18:31.280
em,FileWatcher,1,9,2009-07-08 16:21:13.313,2018-12-02 10:07:44.207
em,Plant,1,4,2009-07-08 16:21:12.573,2018-12-02 10:15:21.507
emperf,Plant,1,3,2014-01-24 11:18:31.260,2018-12-02 10:15:24.083
