Tier,TierName,Id,Name,ParentTier,ParentId,ParentName,Extra
1,Site,1,Madison,NULL,NULL,NULL,NULL
2,Area,1,5G0 Area,Site,1,Madison,NULL
2,Area,2,5A2 Area,Site,1,Madison,NULL
2,Area,17,5A2/5G0 Tumbling Area,Site,1,Madison,NULL
2,Area,18,RPY Area,Site,1,Madison,NULL
2,Area,19,59B Area,Site,1,Madison,NULL
2,Area,20,5K8/64A Area,Site,1,Madison,NULL
2,Area,22,5BA Area,Site,1,Madison,NULL
2,Area,23,5PA Area,Site,1,Madison,NULL
2,Area,24,6B2 Area,Site,1,Madison,NULL
2,Area,25,6C2/6MA Area,Site,1,Madison,NULL
2,Area,26,Sort Area,Site,1,Madison,NULL
2,Area,27,Shipping,Site,1,Madison,NULL
2,Area,28,Offsite,Site,1,Madison,NULL
2,Area,29,6MA Area,Site,1,Madison,NULL
2,Area,30,5J6 Area,Site,1,Madison,NULL
2,Area,33,6FB Area,Site,1,Madison,NULL
2,Area,36,6MD Area,Site,1,Madison,NULL
2,Area,37,Astemo Area,Site,1,Madison,NULL
3,ProductionLine,1,5G0 Front Assembly Line,Area,1,5G0 Area,NULL
3,ProductionLine,14,5G0 Machining Line 1,Area,1,5G0 Area,NULL
3,ProductionLine,23,5G0 Casting Line 1,Area,1,5G0 Area,NULL
3,ProductionLine,25,5G0 Rear Assembly Line,Area,1,5G0 Area,NULL
3,ProductionLine,2,5A2 Assembly Line 1,Area,2,5A2 Area,NULL
3,ProductionLine,17,5A2 Machining Line 1,Area,2,5A2 Area,NULL
3,ProductionLine,18,5A2 Machining Line 2,Area,2,5A2 Area,NULL
3,ProductionLine,19,5A2 Machining Line 3,Area,2,5A2 Area,NULL
3,ProductionLine,20,5A2 Assembly Line 2,Area,2,5A2 Area,NULL
3,ProductionLine,21,5A2 Casting Line 1,Area,2,5A2 Area,NULL
3,ProductionLine,27,5A2 Line 2 Camholder Machining,Area,2,5A2 Area,NULL
3,ProductionLine,28,5A2 Line 2 EX 1-2 Machining,Area,2,5A2 Area,NULL
3,ProductionLine,29,5A2 Line 2 Rocker Shaft 5 - Fuel Pump Machining,Area,2,5A2 Area,NULL
3,ProductionLine,30,5A2 Line 2 Camholder Assembly,Area,2,5A2 Area,NULL
3,ProductionLine,31,5A2 Line 2 Fuel Pump Assembly,Area,2,5A2 Area,NULL
3,ProductionLine,32,5A2 Line 2 Rocker Shaft 1-4 Machining,Area,2,5A2 Area,NULL
3,ProductionLine,24,5A2/5G0 Tumbling Line 1,Area,17,5A2/5G0 Tumbling Area,NULL
3,ProductionLine,33,RPY Line 1 Fuel Pump Assembly,Area,18,RPY Area,NULL
3,ProductionLine,34,RPY / 5BA Line 1 Rocker Shaft 5 Machining,Area,18,RPY Area,NULL
3,ProductionLine,35,RPY Line 1 Rocker Shaft 1-4 Machining,Area,18,RPY Area,NULL
3,ProductionLine,36,RPY Line 1 Camholder Machining,Area,18,RPY Area,NULL
3,ProductionLine,37,RPY Line 1 Fuel Pump/5BA Side Cover Machining,Area,18,RPY Area,NULL
3,ProductionLine,38,RPY Line 1 Set Assembly,Area,18,RPY Area,NULL
3,ProductionLine,54,RPY Compressor Bracket Machining,Area,18,RPY Area,NULL
3,ProductionLine,59,RPY Compressor Bracket Assembly,Area,18,RPY Area,NULL
3,ProductionLine,39,59B Line 1 Fuel Pump Assembly,Area,19,59B Area,NULL
3,ProductionLine,44,59B Cam Holder Assembly,Area,19,59B Area,NULL
3,ProductionLine,46,59B Line 2 Cam Holder Assembly,Area,19,59B Area,NULL
3,ProductionLine,55,59B Line 3 Assembly,Area,19,59B Area,NULL
3,ProductionLine,56,59B Line 3 Machining,Area,19,59B Area,NULL
3,ProductionLine,76,59B Line 1 Machining,Area,19,59B Area,NULL
3,ProductionLine,40,5K8 Machining,Area,20,5K8/64A Area,NULL
3,ProductionLine,41,5K8/64A Assembly,Area,20,5K8/64A Area,NULL
3,ProductionLine,42,5BA Side Cover Assembly,Area,22,5BA Area,NULL
3,ProductionLine,43,5BA Side Cover Machining,Area,22,5BA Area,NULL
3,ProductionLine,45,5PA Assembly,Area,23,5PA Area,NULL
3,ProductionLine,47,5PA Fuel Pump Line 2 Machining,Area,23,5PA Area,NULL
3,ProductionLine,52,5PA Fuel Pump Line 3 Machining,Area,23,5PA Area,NULL
3,ProductionLine,60,5PA Oil Pan Machining,Area,23,5PA Area,NULL
3,ProductionLine,48,6B2 Cam Holder Machining,Area,24,6B2 Area,NULL
3,ProductionLine,49,6B2 Cam Holder Assembly,Area,24,6B2 Area,NULL
3,ProductionLine,50,6B2 Fuel Pump Machining,Area,24,6B2 Area,NULL
3,ProductionLine,51,6B2 Fuel Pump Assembly,Area,24,6B2 Area,NULL
3,ProductionLine,53,6C2/6MA Oil Pan Assembly,Area,25,6C2/6MA Area,NULL
3,ProductionLine,80,6C2/6MA Machining Line,Area,25,6C2/6MA Area,NULL
3,ProductionLine,57,Sort Line 1,Area,26,Sort Area,NULL
3,ProductionLine,58,Shipping 1,Area,27,Shipping,NULL
3,ProductionLine,61,Offsite,Area,28,Offsite,NULL
3,ProductionLine,62,6MA Cam Holder Machining,Area,29,6MA Area,NULL
3,ProductionLine,63,6MA Cam Holder Assembly,Area,29,6MA Area,NULL
3,ProductionLine,75,6MA Cam Holder Final Assembly - DO NOT USE,Area,29,6MA Area,NULL
3,ProductionLine,66,5J6 Oil Pan Assembly,Area,30,5J6 Area,NULL
3,ProductionLine,67,5J6 Machining,Area,30,5J6 Area,NULL
3,ProductionLine,69,6FB Machining,Area,33,6FB Area,NULL
3,ProductionLine,71,6FB Assembly,Area,33,6FB Area,NULL
3,ProductionLine,83,6MD Int Manifold Final Inpection,Area,36,6MD Area,NULL
3,ProductionLine,84,Inner Housing Weigh Station,Area,37,Astemo Area,NULL
3,ProductionLine,85,Single Cover Weigh Station,Area,37,Astemo Area,NULL
3,ProductionLine,86,Single Case Weigh Station,Area,37,Astemo Area,NULL
3,ProductionLine,87,Dual Cover Weigh Station,Area,37,Astemo Area,NULL
3,ProductionLine,88,Dual Case Weigh Station,Area,37,Astemo Area,NULL
4,WorkCell,36,5G0 Front Assembly Work Cell,ProductionLine,1,5G0 Front Assembly Line,TrackingMode=0
4,WorkCell,38,5A2 Assembly 1 Work Cell,ProductionLine,2,5A2 Assembly Line 1,TrackingMode=1
4,WorkCell,32,5G0 Machining 1 Work Cell,ProductionLine,14,5G0 Machining Line 1,TrackingMode=1
4,WorkCell,42,5A2 Machining 1 Work Cell,ProductionLine,17,5A2 Machining Line 1,TrackingMode=1
4,WorkCell,43,5A2 Machining 2 Work Cell,ProductionLine,18,5A2 Machining Line 2,TrackingMode=1
4,WorkCell,45,5A2 Machining 3 Work Cell,ProductionLine,19,5A2 Machining Line 3,TrackingMode=1
4,WorkCell,39,5A2 Assembly 2 Work Cell,ProductionLine,20,5A2 Assembly Line 2,TrackingMode=1
4,WorkCell,1,5A2 Casting 1 Work Cell,ProductionLine,21,5A2 Casting Line 1,TrackingMode=1
4,WorkCell,2,5G0 Casting Work Cell 1,ProductionLine,23,5G0 Casting Line 1,TrackingMode=1
