Id,Name,Description,MaterialClass,IsFinishedGood,IsSupplyPart,Weight,Uom,SortRecipeNumber,CountryOfOrigin
285,12231-59B -0001,Intake #1,59B Finished Goods,1,0,NULL,NULL,NULL,NULL
286,12232-59B -0001,Intake #2,59B Finished Goods,1,0,NULL,NULL,NULL,NULL
287,12233-59B -0001,Intake #3,59B Finished Goods,1,0,NULL,NULL,NULL,NULL
288,12234-59B -0001,Intake #4,59B Finished Goods,1,0,NULL,NULL,NULL,NULL
289,12235-59B -0001,Intake #5,59B Finished Goods,1,0,NULL,NULL,NULL,NULL
177,1223A-59B -A0002,"Cam-Rocker, Holder Set DWG",59B Finished Goods,1,0,NULL,NULL,27,US
290,12241-59B -0001,Exhaust #1,59B Finished Goods,1,0,NULL,NULL,NULL,NULL
291,12242-59B -0001,Exhaust #2,59B Finished Goods,1,0,NULL,NULL,NULL,NULL
292,12243-59B -0001,Exhaust #3,59B Finished Goods,1,0,NULL,NULL,NULL,NULL
293,12244-59B -0001,Exhaust #4,59B Finished Goods,1,0,NULL,NULL,NULL,NULL
294,12245-59B -0001,Exhaust #5,59B Finished Goods,1,0,NULL,NULL,NULL,NULL
145,12270-59B -0000A,"BASE COMP, FUEL H/P PUMP",59B Finished Goods,1,0,1.430,Pound,24,US
365,12270-6NA -0001,6NA FUEL PUMP ,59B Finished Goods,1,0,1.430,Pound,24
414,12270-6NA -0100,Fuel Pump,59B Finished Goods,1,0,1.430,Pound,NULL,US
75,1226A-5A2 -A000,CAM/ROCKER HOLDER SET,5A2 Finished Goods,1,0,NULL,NULL,28,US
99,1226B-5B0 -Y000,CAM/ROCKER HOLDER SET,5A2 Finished Goods,1,0,NULL,NULL,NULL,NULL
103,12270-5A2 -A0101,"BASE COMP, FUEL H/P PUMP",5A2 Finished Goods,1,1,NULL,NULL,20,US
160,12270-5BA-A010,"Cover Comp, Side",5BA Finished Goods,1,1,1.000,Pound,31,US
69,14650-5G0 -A000,"HOLDER ASSY, RKR SHAFT FR",5G0 Finished Goods,1,0,8.200,Pound,18,US
16,14660-5G0 -A000,"HOLDER ASSY, RKR SHAFT RR",5G0 Finished Goods,1,0,10.160,Pound,19,US
229,11200-5J6 -A110,"PAN COMP,OIL ",5J6 Finished Goods,1,1,1.000,Pound,20,US
147,1120A-5AA -A010,Oil Pan,5K8 Finished Goods,1,0,9.410,Pound,27,US
193,1120A-5PA -A010,Oil Pan Sub Assembly ,5PA Finished Goods,1,0,NULL,NULL,57,US
186,12270-5PA -A0001,"BASE COMP, FUEL H/P PUMP",5PA Finished Goods,1,0,1.430,Pound,23,US
373,12270-6NA -A000 DNU,6NA FUEL PUMP,5PA Finished Goods,1,0,1.430,Pound,24
387,12270-6VJ -A000 DNU,6VJ Fuel Pump,5PA Finished Goods,1,0,1.430,Pound,24
304,1120A-64A -A000,64A Oil Pan,64A Finished Goods,1,0,NULL,NULL,NULL
431,12270-66V -A001 ,,66V Finished Goods,1,0,1.780,Pound,NULL,us
242,12270-6B2 -A000B,"BASE COMP, FUEL H/P PUMP",6B2 Finished Goods,1,0,1.780,Pound,21,US
371,1120A-69F -A000,OIL PAN SUB ASSEMBLY,6C2/6MA Finished Goods,1,0,NULL,NULL,3,US
273,1120A-6C2 -A000,OIL PAN SUB ASSEMBLY,6C2/6MA Finished Goods,1,0,NULL,NULL,30,US
274,1120A-6L2 -A010,OIL PAN SUB ASSEMBLY,6C2/6MA Finished Goods,1,0,NULL,NULL,99,US
