ForeignKeyName,ParentTable,ParentColumn,ReferencedTable,ReferencedColumn
FK_ActiveDirectoryGroup_Role,dbo.ActiveDirectoryGroup,RoleID,dbo.Role,RoleID
FK_Area_Site,dbo.Area,SiteID,dbo.Site,SiteID
FK_Bom_Material,dbo.Bom,MaterialID,dbo.Material,MaterialID
FK_BomComponent_Bom,dbo.BomComponent,BomID,dbo.Bom,BomID
FK_BomComponent_Material,dbo.BomComponent,MaterialID,dbo.Material,MaterialID
FK_Container_Container,dbo.Container,PriorContainerID,dbo.Container,ContainerID
FK_Container_ContainerState,dbo.Container,ContainerStateID,dbo.ContainerState,ContainerStateID
FK_Container_Disposition,dbo.Container,DispositionID,dbo.Disposition,DispositionID
FK_Container_WorkCell,dbo.Container,WorkCellID,dbo.WorkCell,WorkCellID
FK_ContainerLot_Container,dbo.ContainerLot,ContainerID,dbo.Container,ContainerID
FK_ContainerLot_Lot,dbo.ContainerLot,LotID,dbo.Lot,LotID
FK_ContainerSerializedItem_Container,dbo.ContainerSerializedItem,ContainerID,dbo.Container,ContainerID
FK_ContainerSerializedItem_SerializedItem,dbo.ContainerSerializedItem,SerializedItemID,dbo.SerializedItem,SerializedItemID
FK_FinalAssemblyDashboardConfiguration_BeforeContainerCreateUserInterfaceScript,dbo.FinalAssemblyDashboardConfiguration,BeforeContainerCreateScriptID,dbo.UserInterfaceScript,UserInterfaceScriptID
FK_LabelPrinter_WorkCell,dbo.LabelPrinter,WorkCellID,dbo.WorkCell,WorkCellID
FK_LabelPrinterLabelTemplate_LabelPrinter,dbo.LabelPrinterLabelTemplate,LabelPrinterID,dbo.LabelPrinter,LabelPrinterID
FK_LabelPrinterLabelTemplate_LabelTemplate,dbo.LabelPrinterLabelTemplate,LabelTemplateID,dbo.LabelTemplate,LabelTemplateID
FK_Lot_Disposition,dbo.Lot,DispositionID,dbo.Disposition,DispositionID
FK_Lot_LotState,dbo.Lot,LotStateID,dbo.LotState,LotStateID
FK_Lot_WorkOrder,dbo.Lot,WorkOrderID,dbo.WorkOrder,WorkOrderID
FK_LotAttributeValue_Lot,dbo.LotAttributeValue,LotID,dbo.Lot,LotID
FK_LotAttributeValue_LotAttribute,dbo.LotAttributeValue,LotAttributeID,dbo.LotAttribute,LotAttributeID
FK_LotComponent_BomComponent,dbo.LotBomComponent,BomComponentID,dbo.BomComponent,BomComponentID
FK_LotComponent_Lot,dbo.LotBomComponent,LotID,dbo.Lot,LotID
FK_LotCreateDashboardConfiguration_UserInterfaceScript,dbo.LotCreateDashboardConfiguration,SaveButtonUserInterfaceScriptID,dbo.UserInterfaceScript,UserInterfaceScriptID
FK_LotTrackingDashboardConfiguration_Area,dbo.LotTrackingDashboardConfiguration,LotHistoryAtSourceLocationAreaID,dbo.Area,AreaID
FK_LotTrackingDashboardConfiguration_ProductionLine,dbo.LotTrackingDashboardConfiguration,LotHistoryAtSourceLocationProductionLineID,dbo.ProductionLine,ProductionLineID
FK_LotTrackingDashboardConfiguration_UserInterfaceScript,dbo.LotTrackingDashboardConfiguration,MoveButtonUserInterfaceScriptID,dbo.UserInterfaceScript,UserInterfaceScriptID
FK_LotTrackingDashboardConfiguration_WorkCell,dbo.LotTrackingDashboardConfiguration,LotHistoryAtSourceLocationWorkCellID,dbo.WorkCell,WorkCellID
FK_LotTransaction_Lot,dbo.LotTransaction,LotID,dbo.Lot,LotID
FK_LotTransaction_LotTransactionType,dbo.LotTransaction,LotTransactionTypeID,dbo.LotTransactionType,LotTransactionTypeID
FK_LotTransaction_WorkCell,dbo.LotTransaction,WorkCellID,dbo.WorkCell,WorkCellID
FK_Material_MaterialClass,dbo.Material,MaterialClassID,dbo.MaterialClass,MaterialClassID
FK_Material_UnitOfMeasure,dbo.Material,UnitOfMeasureID,dbo.UnitOfMeasure,UnitOfMeasureID
FK_NavigationLevel_ParentNavigationLevel,dbo.NavigationLevel,ParentNavigationLevelID,dbo.NavigationLevel,NavigationLevelID
FK_NotificationClass_Notification,dbo.NotificationClass,NotificationID,dbo.Notification,NotificationID
FK_NotificationSubscriptions_NotificationTemplates,dbo.NotificationSubscription,NotificationTemplateID,dbo.NotificationTemplate,NotificationTemplateID
FK_NotificationTemplates_Notifications,dbo.NotificationTemplate,NotificationID,dbo.Notification,NotificationID
FK_NotificationTemplates_NotificationTypes,dbo.NotificationTemplate,NotificationTypeID,dbo.NotificationType,NotificationTypeID
FK_OpcItem_OPCServer,dbo.OpcItem,OpcServerID,dbo.OpcServer,OpcServerID
FK_OpcItemValue_OpcItem,dbo.OpcItemValue,OpcItemID,dbo.OpcItem,OpcItemID
FK_ProductionLine_Area,dbo.ProductionLine,AreaID,dbo.Area,AreaID
FK_ProductionOrder_Bom,dbo.ProductionOrder,BomID,dbo.Bom,BomID
FK_ProductionOrder_IdentifierFormat,dbo.ProductionOrder,IdentifierFormatID,dbo.IdentifierFormat,IdentifierFormatID
FK_ProductionOrder_ProductionLine,dbo.ProductionOrder,ProductionLineID,dbo.ProductionLine,ProductionLineID
FK_ProductionOrder_ProductionOrderState,dbo.ProductionOrder,ProductionOrderStateID,dbo.ProductionOrderState,ProductionOrderStateID
FK_RolePrivilege_Privilege,dbo.RolePrivilege,PrivilegeID,dbo.Privilege,PrivilegeID
FK_RolePrivilege_Role,dbo.RolePrivilege,RoleID,dbo.Role,RoleID
FK_SerializedItem_Disposition,dbo.SerializedItem,DispositionID,dbo.Disposition,DispositionID
FK_SerializedItem_SerializedItemState,dbo.SerializedItem,SerializedItemStateID,dbo.SerializedItemState,SerializedItemStateID
FK_SerializedItem_WorkOrder,dbo.SerializedItem,WorkOrderID,dbo.WorkOrder,WorkOrderID
FK_SerializedItemBomComponent_BomComponent,dbo.SerializedItemBomComponent,BomComponentID,dbo.BomComponent,BomComponentID
FK_SerializedItemBomComponent_SerializedItem,dbo.SerializedItemBomComponent,SerializedItemID,dbo.SerializedItem,SerializedItemID
FK_SerializedItemTransaction_SerializedItem,dbo.SerializedItemTransaction,SerializedItemID,dbo.SerializedItem,SerializedItemID
FK_SerializedItemTransaction_SerializedItemTransactionType,dbo.SerializedItemTransaction,SerializedItemTransactionTypeID,dbo.SerializedItemTransactionType,SerializedItemTransactionTypeID
FK_SerializedItemTransaction_WorkCell,dbo.SerializedItemTransaction,WorkCellID,dbo.WorkCell,WorkCellID
FK_SubLot_Lot,dbo.SubLot,LotID,dbo.Lot,LotID
FK_SubLotTransaction_SubLotTransaction,dbo.SubLotTransaction,SubLotTransactionID,dbo.SubLotTransaction,SubLotTransactionID
FK_SubLotTransaction_SubLotTransactionType,dbo.SubLotTransaction,SubLotTransactionTypeID,dbo.SubLotTransactionType,SubLotTransactionTypeID
FK_UserInterfaceScriptReference_UserInterfaceScript,dbo.UserInterfaceScriptReference,UserInterfaceScriptID,dbo.UserInterfaceScript,UserInterfaceScriptID
FK_VisionSystemEventLog_VisionSystemEventTypeID,dbo.VisionSystemEventLog,VisionSystemEventTypeID,dbo.VisionSystemEventType,VisionSystemEventTypeID
FK_VisionSystemEventLog_WorkCellID,dbo.VisionSystemEventLog,WorkCellID,dbo.WorkCell,WorkCellID
FK_WorkCell_ProductionLine,dbo.WorkCell,ProductionLineID,dbo.ProductionLine,ProductionLineID
FK_WorkCellLotAttribute_LotAttribute,dbo.WorkCellLotAttribute,LotAttributeID,dbo.LotAttribute,LotAttributeID
FK_WorkCellLotAttribute_WorkCell,dbo.WorkCellLotAttribute,WorkCellID,dbo.WorkCell,WorkCellID
FK_WorkCellMaterial_Material,dbo.WorkCellMaterial,MaterialID,dbo.Material,MaterialID
FK_WorkCellMaterial_WorkCell,dbo.WorkCellMaterial,WorkCellID,dbo.WorkCell,WorkCellID
FK_WorkCellMaterialLot_WorkCellMaterial,dbo.WorkCellMaterialLot,WorkCellMaterialID,dbo.WorkCellMaterial,WorkCellMaterialID
FK_WorkOrder_BomComponent,dbo.WorkOrder,BomComponentID,dbo.BomComponent,BomComponentID
FK_WorkOrder_IdentifierFormat,dbo.WorkOrder,IdentifierFormatID,dbo.IdentifierFormat,IdentifierFormatID
FK_WorkOrder_ProductionOrder,dbo.WorkOrder,ProductionOrderID,dbo.ProductionOrder,ProductionOrderID
FK_WorkOrder_TargetWeightUOM,dbo.WorkOrder,TargetWeightUnitOfMeasureID,dbo.UnitOfMeasure,UnitOfMeasureID
FK_WorkOrder_WorkCell,dbo.WorkOrder,WorkCellID,dbo.WorkCell,WorkCellID
FK_WorkOrder_WorkOrderState,dbo.WorkOrder,WorkOrderStateID,dbo.WorkOrderState,WorkOrderStateID
FK_Workstation_AutomationViewConfiguration,dbo.Workstation,AutomationViewConfigurationID,ui.AutomationViewConfiguration,AutomationViewConfigurationID
FK_Workstation_NavigationLevel,dbo.Workstation,NavigationLevelID,dbo.NavigationLevel,NavigationLevelID
FK_Workstation_WorkCell,dbo.Workstation,WorkCellID,dbo.WorkCell,WorkCellID
FK_WorkstationDashboardConfiguration_CreateAllocationDashboardConfiguration,dbo.WorkstationDashboardConfiguration,CreateAllocationDashboardConfigurationID,dbo.CreateAllocationDashboardConfiguration,CreateAllocationDashboardConfigurationID
FK_WorkstationDashboardConfiguration_FinalAssemblyDashboardConfiguration,dbo.WorkstationDashboardConfiguration,FinalAssemblyDashboardConfigurationID,dbo.FinalAssemblyDashboardConfiguration,FinalAssemblyDashboardConfigurationID
FK_WorkstationDashboardConfiguration_LotCreateDashboardConfiguration,dbo.WorkstationDashboardConfiguration,LotCreateDashboardConfigurationID,dbo.LotCreateDashboardConfiguration,LotCreateDashboardConfigurationID
FK_WorkstationDashboardConfiguration_LotTrackingDashboardConfiguration,dbo.WorkstationDashboardConfiguration,LotTrackingDashboardConfigurationID,dbo.LotTrackingDashboardConfiguration,LotTrackingDashboardConfigurationID
FK_WorkstationDashboardConfiguration_MaterialLabelPrintDashboardConfiguration,dbo.WorkstationDashboardConfiguration,MaterialLabelPrintDashboardConfigurationID,dbo.MaterialLabelPrintDashboardConfiguration,MaterialLabelPrintDashboardConfigurationID
FK_WorkstationDashboardConfiguration_SortDashboardConfiguration,dbo.WorkstationDashboardConfiguration,SortDashboardConfigurationID,dbo.SortDashboardConfiguration,SortDashboardConfigurationID
FK_WorkstationDashboardConfiguration_WorkOrderDashboardConfiguration,dbo.WorkstationDashboardConfiguration,WorkOrderDashboardConfigurationID,dbo.WorkOrderDashboardConfiguration,WorkOrderDashboardConfigurationID
FK_WorkstationDashboardConfiguration_Workstation,dbo.WorkstationDashboardConfiguration,WorkstationID,dbo.Workstation,WorkstationID
FK_LabelPrintingConfiguration_Bom,offsite.LabelPrintingConfiguration,BomID,dbo.Bom,BomID
FK_LabelPrintingConfiguration_Customer,offsite.LabelPrintingConfiguration,CustomerID,offsite.Customer,CustomerID
FK_LabelPrintingConfiguration_UnitOfMeasure,offsite.LabelPrintingConfiguration,TargetWeightUnitOfMeasureID,dbo.UnitOfMeasure,UnitOfMeasureID
FK_LabelPrintingConfiguration_Workstation,offsite.LabelPrintingConfiguration,WorkstationID,offsite.Workstation,WorkstationID
FK_AutomationViewConfiguration_Privilege,ui.AutomationViewConfiguration,ViewPrivilegeID,dbo.Privilege,PrivilegeID
FK_AutomationViewGroup_AutomationViewConfiguration,ui.AutomationViewGroup,AutomationViewConfigurationID,ui.AutomationViewConfiguration,AutomationViewConfigurationID
FK_AutomationViewItem_AutomationViewGroup,ui.AutomationViewItem,AutomationViewGroupID,ui.AutomationViewGroup,AutomationViewGroupID
FK_AutomationViewItem_OPCItem,ui.AutomationViewItem,OPCItemID,dbo.OpcItem,OpcItemID
FK_AutomationViewItem_Privilege,ui.AutomationViewItem,WriteElevatedPrivilegeID,dbo.Privilege,PrivilegeID
