SchemaName,TableName,ApproxRows,ColumnCount,CreatedUtc,ModifiedUtc
dbo,SystemLog,71557705,10,2012-03-19 13:59:01.013,2020-09-13 02:40:44.367
dbo,SerializedItemBomComponent,39340890,6,2012-01-31 12:16:34.813,2020-09-13 02:38:47.940
dbo,LotTransaction_Historical,16806236,11,2024-02-15 12:23:56.757,2024-02-15 12:23:56.757
dbo,VisionSystemEventLog,15853079,9,2017-04-12 09:15:43.367,2020-09-13 02:40:56.967
dbo,SerializedItemTransaction,10253017,6,2011-12-30 15:19:24.890,2020-09-13 02:38:56.070
dbo,LotTransaction,9238446,11,2017-04-12 11:33:32.383,2025-07-20 02:39:13.510
dbo,LotBomComponent_Historical,6859267,6,2024-02-15 11:59:23.890,2024-02-15 11:59:23.890
dbo,SerializedItem,3417771,9,2012-02-01 11:22:39.443,2026-03-22 02:40:49.157
dbo,ContainerSerializedItem,3414990,4,2012-02-02 15:54:24.740,2018-12-23 02:34:05.773
dbo,LotBomComponent,2629485,6,2012-04-02 13:08:58.900,2024-10-20 02:41:01.223
offsite,Container,2465170,5,2018-11-21 09:11:30.730,2020-09-13 02:41:00.567
dbo,SubLotTransaction,1866252,5,2017-04-12 09:15:43.510,2025-12-14 02:40:03.920
dbo,Container,1783598,17,2012-02-08 14:54:04.287,2025-03-23 02:40:32.987
dbo,Lot_Historical,1457838,15,2024-02-15 13:01:37.047,2024-02-15 13:01:37.047
dbo,ContainerLot_Historical,1283082,4,2024-02-15 11:44:42.670,2024-02-15 11:44:42.670
dbo,WorkCellMaterialLot,1223564,10,2011-12-12 10:19:21.687,2025-04-13 02:39:46.213
dbo,Lot,554074,15,2011-12-22 14:33:58.610,2025-04-27 02:38:55.220
dbo,SubLot,520153,6,2017-04-12 09:17:09.000,2025-08-03 02:40:26.180
dbo,SubLot_Historical,506063,6,2024-02-15 13:10:47.853,2024-02-15 13:10:47.853
dbo,ContainerLot,442065,4,2012-02-08 15:08:49.370,2022-07-31 02:38:32.230
dbo,LotAttributeValue_Historical,324416,4,2024-02-15 12:47:44.753,2024-02-15 12:47:44.753
dbo,LotAttributeValue,226808,4,2012-05-01 10:21:20.073,2024-02-21 13:01:00.397
mro,flx_SystemLog,164638,10,2016-05-31 10:54:54.680,2018-12-02 11:01:48.837
dbo,WorkCellMaterialLot_Historical,14820,10,2024-02-21 16:30:18.470,2024-02-21 16:30:18.470
dbo,WorkCellMaterialLot_Archive,8547,10,2013-03-27 12:27:20.900,2018-12-02 11:00:33.050
dbo,UserInterfaceScriptReference,752,3,2012-03-07 13:00:57.043,2018-12-02 10:54:39.907
dbo,WorkCellMaterial,709,8,2011-12-12 10:19:21.447,2024-02-21 13:03:06.780
dbo,BomComponent,557,8,2012-02-02 13:34:02.517,2018-12-19 08:19:50.260
dbo,RolePrivilege,529,3,2012-03-22 10:50:38.547,2018-12-02 10:34:37.943
mro,flx_ClientState,443,13,2016-05-31 10:54:54.597,2018-12-02 11:01:22.103
dbo,Material,343,11,2011-12-06 22:04:17.413,2019-02-04 14:00:43.207
dbo,ClientState,322,15,2012-06-05 16:32:47.037,2018-12-02 10:15:24.903
dbo,LotTransactionHist,237,11,2022-10-13 11:02:35.547,2022-10-13 11:02:35.547
dbo,Bom,225,5,2011-12-13 14:50:44.870,2018-12-02 10:15:24.493
dbo,WorkOrder,190,25,2012-04-26 14:07:29.140,2018-12-02 11:00:39.493
dbo,ProductionOrder,189,15,2012-04-19 16:10:45.307,2018-12-02 10:34:00.623
offsite,LabelPrintingConfiguration,143,14,2015-08-23 17:42:57.797,2018-12-02 11:02:12.660
dbo,UserInterfaceScript,134,5,2012-03-07 12:47:51.750,2018-12-02 10:54:34.093
dbo,LotAttributeValueHist,124,4,2022-10-13 10:30:28.553,2022-10-13 10:30:28.553
dbo,Privilege,120,4,2012-03-22 10:50:38.450,2018-12-02 10:33:41.597
dbo,Workstation,104,13,2011-12-13 15:51:34.630,2018-12-02 11:01:01.743
dbo,WorkstationDashboardConfiguration,103,10,2012-03-06 11:16:18.130,2018-12-02 11:01:08.573
dbo,OpcItem,92,11,2012-02-06 13:39:05.827,2018-12-02 10:33:20.010
dbo,OpcItemValue,92,7,2012-02-06 13:42:55.303,2018-12-02 10:33:25.973
ui,AutomationViewItem,76,8,2012-05-10 09:51:44.610,2018-12-02 11:02:46.597
dbo,WorkCell,69,8,2011-12-06 22:20:49.027,2018-12-02 10:59:53.430
dbo,ClientConfiguration,68,6,2011-12-13 21:48:14.700,2018-12-02 10:15:24.643
dbo,Version,68,4,2012-04-13 13:59:17.317,2018-12-02 10:54:47.613
dbo,LabelPrinter,63,7,2011-12-12 13:15:15.410,2018-12-02 10:17:03.603
offsite,Workstation,63,11,2015-08-23 17:42:57.780,2018-12-02 11:02:22.717
dbo,LabelPrinterLabelTemplate,62,2,2012-03-12 15:42:35.290,2018-12-02 10:17:03.633
dbo,LotHist,62,15,2022-10-13 11:19:27.000,2022-10-13 11:19:27.000
dbo,ProductionLine,61,6,2011-12-06 22:13:28.927,2018-12-02 10:33:54.170
dbo,NavigationLevel,59,8,2015-03-11 11:42:40.000,2018-12-02 10:32:30.413
dbo,LotTrackingDashboardConfiguration,56,15,2012-03-06 11:16:17.953,2018-12-02 10:19:13.763
dbo,FinalAssemblyDashboardConfiguration,39,16,2012-12-28 09:04:13.297,2018-12-02 10:17:03.543
dbo,SubLotHist,37,6,2022-10-26 16:28:29.940,2022-10-26 16:28:29.940
dbo,SubLotTransactionHist,37,5,2022-10-26 16:29:00.850,2022-10-26 16:29:00.850
dbo,MaterialClass,34,6,2011-12-06 22:04:16.487,2018-12-02 10:32:15.580
dbo,Configuration,24,5,2012-03-27 16:44:16.190,2018-12-02 10:15:24.937
ui,AutomationViewGroup,24,7,2012-04-26 10:57:50.877,2018-12-02 11:02:38.923
dbo,Area,18,6,2011-12-06 22:13:27.887,2018-12-02 10:15:24.477
mro,flx_Online_Mode,18,4,2016-05-31 10:54:54.557,2016-05-31 10:54:54.557
dbo,Report,16,4,2012-03-28 14:43:52.117,2018-12-02 10:34:19.270
dbo,MaterialLabelPrintDashboardConfiguration,15,2,2018-08-09 08:05:29.093,2018-12-02 10:32:21.800
dbo,sysdiagrams,13,5,2011-12-06 21:12:16.537,2011-12-06 21:12:16.540
dbo,Notification,12,4,2017-09-22 09:27:07.390,2018-12-02 10:32:37.467
