Id,Name,ProductionLine,BomID,BomMaterial,State,Sequence,RequiredQuantity,CompletedQuantity,RemainingQuantity
18,12261-5A2,5A2 Casting Line 1,47,12261-5A2,STARTED,1,1000000000.000000,0.000000,1000000000.000000
19,1226A-5A2-A000,5A2 Assembly Line 1,44,1226A-5A2 -A000,SCHEDULED,1,1000000000.000000,0.000000,1000000000.000000
41,14650-5G0-A000,5G0 Front Assembly Line,43,14650-5G0 -A000,STARTED,1,1000000000.000000,0.000000,1000000000.000000
42,14660-5G0-A000,5G0 Rear Assembly Line,3,14660-5G0 -A000,STARTED,1,1000000000.000000,0.000000,1000000000.000000
43,12231-5G0,5G0 Casting Line 1,67,12231-5G0,STARTED,1,1000000000.000000,0.000000,1000000000.000000
46,12231-5G0,5G0 Machining Line 1,67,12231-5G0,STARTED,1,1000000000.000000,0.000000,1000000000.000000
51,1226A-5A2 - A000,5A2 Line 2 Camholder Assembly,44,1226A-5A2 -A000,STARTED,1,1000000000.000000,0.000000,1000000000.000000
52,12270-5A2-A000 (Fuel Pump),5A2 Line 2 Fuel Pump Assembly,65,12270-5A2 -A0101,STARTED,1,1000000000.000000,0.000000,1000000000.000000
69,12270-RPY- G000 (Fuel Pump),RPY Line 1 Fuel Pump Assembly,100,12270-RPY -G001,STARTED,1,1000000000.000000,0.000000,1000000000.000000
70,1223A-RPY -G000,RPY Line 1 Set Assembly,93,1223A-RPY -G000,STARTED,1,1000000000.000000,0.000000,1000000000.000000
82,12270-59B -0000 (Fuel Pump),59B Line 1 Fuel Pump Assembly,107,12270-59B -0000A,STARTED,1,1000000000.000000,0.000000,1000000000.000000
84,12270-59B,RPY Line 1 Fuel Pump/5BA Side Cover Machining,106,12270-59B,STARTED,1,1000000000.000000,0.000000,1000000000.000000
88,1120A-5AA -A000,5K8/64A Assembly,108,1120A-5AA -A010,STARTED,1,1000000000.000000,0.000000,1000000000.000000
89,11200-5K8-0000 (Oil Pan),5K8 Machining,117,11200-5K8,STARTED,1,1000000000.000000,0.000000,1000000000.000000
90,1223A-59B-A000 (Cam-Rocker Holder Set),59B Cam Holder Assembly,129,1223A-59B -A0002,STARTED,1,1000000000.000000,0.000000,1000000000.000000
94,1120A-5PA -A000,5PA Assembly,139,1120A-5PA -A010,STARTED,1,1000000000.000000,0.000000,1000000000.000000
106,1223A-59B-A000 (Cam-Rocker Holder Set),59B Line 2 Cam Holder Assembly,141,1223A-59B -A0002,STARTED,1,1000000000.000000,0.000000,1000000000.000000
108,12270-5PA,5PA Fuel Pump Line 2 Machining,136,12270-5PA,STARTED,1,1000000000.000000,0.000000,1000000000.000000
112,1223A-RPY -G000 1223A-RPY -G000 (RPY Manual),6B2 Cam Holder Assembly,93,1223A-RPY -G000,STARTED,1,1000000000.000000,0.000000,1000000000.000000
113,12270-6B2- A010 (Fuel Pump) - 10 parts,6B2 Fuel Pump Assembly,163,12270-6B2 -A000B,STARTED,1,1000000000.000000,0.000000,1000000000.000000
123,12270-5PA,5PA Fuel Pump Line 3 Machining,136,12270-5PA,STARTED,1,1000000000.000000,0.000000,1000000000.000000
124,1120A-6C2 -A000,6C2/6MA Oil Pan Assembly,178,1120A-6C2 -A000,STARTED,1,1000000000.000000,0.000000,1000000000.000000
137,1223A-59B -A000,59B Line 3 Assembly,141,1223A-59B -A0002,STARTED,1,1000000000.000000,0.000000,1000000000.000000
152,38930-RPY -E010,RPY Compressor Bracket Assembly,102,38930-RPY -E010,STARTED,1,1000000000.000000,0.000000,1000000000.000000
