Id,WorkCell,ProductionLine,Area,Material,MaterialClass,IsFinishedGood,IsConsumptionPoint,MinQuantity,MaxQuantity,DefaultQuantity,IsDeleted
306,59B Cam Holder Assembly Work Cell,59B Cam Holder Assembly,59B Area,12231-59B-0000,59B Components,0,1,NULL,NULL,NULL,0
307,59B Cam Holder Assembly Work Cell,59B Cam Holder Assembly,59B Area,12232-59B-0000,59B Components,0,1,NULL,NULL,NULL,0
308,59B Cam Holder Assembly Work Cell,59B Cam Holder Assembly,59B Area,12233-59B-0000,59B Components,0,1,NULL,NULL,NULL,0
309,59B Cam Holder Assembly Work Cell,59B Cam Holder Assembly,59B Area,12234-59B-0000,59B Components,0,1,NULL,NULL,NULL,0
310,59B Cam Holder Assembly Work Cell,59B Cam Holder Assembly,59B Area,12235-59B-0000,59B Components,0,1,NULL,NULL,NULL,0
303,59B Cam Holder Assembly Work Cell,59B Cam Holder Assembly,59B Area,12241-59B-0000,59B Components,0,1,NULL,NULL,NULL,0
311,59B Cam Holder Assembly Work Cell,59B Cam Holder Assembly,59B Area,12242-59B-0000,59B Components,0,1,NULL,NULL,NULL,0
312,59B Cam Holder Assembly Work Cell,59B Cam Holder Assembly,59B Area,12243-59B-0000,59B Components,0,1,NULL,NULL,NULL,0
313,59B Cam Holder Assembly Work Cell,59B Cam Holder Assembly,59B Area,12244-59B-0000,59B Components,0,1,NULL,NULL,NULL,0
314,59B Cam Holder Assembly Work Cell,59B Cam Holder Assembly,59B Area,12245-59B-0000,59B Components,0,1,NULL,NULL,NULL,0
304,59B Cam Holder Assembly Work Cell,59B Cam Holder Assembly,59B Area,1223A-59B -A0002,59B Finished Goods,1,0,NULL,NULL,NULL,0
277,59B Line 1 Fuel Pump Assembly 1 Work Cell,59B Line 1 Fuel Pump Assembly,59B Area,12270-59B,59B Components,0,1,NULL,NULL,NULL,0
296,59B Line 1 Fuel Pump Assembly 1 Work Cell,59B Line 1 Fuel Pump Assembly,59B Area,12270-59B -0000A,59B Finished Goods,1,1,NULL,NULL,NULL,0
440,59B Line 1 Fuel Pump Assembly 1 Work Cell,59B Line 1 Fuel Pump Assembly,59B Area,12270-5PA,5PA Components,0,1,NULL,NULL,6.000000,0
315,59B Line 1 Fuel Pump Assembly 1 Work Cell,59B Line 1 Fuel Pump Assembly,59B Area,12270-5PA -A0001,5PA Finished Goods,1,1,NULL,NULL,6.000000,0
947,59B Line 1 Fuel Pump Assembly 1 Work Cell,59B Line 1 Fuel Pump Assembly,59B Area,12270-6NA -0100,59B Finished Goods,1,1,NULL,NULL,6.000000,0
298,59B Line 1 Fuel Pump Assembly 1 Work Cell,59B Line 1 Fuel Pump Assembly,59B Area,92900-06014-1B,59B Components,0,1,NULL,NULL,NULL,0
297,59B Line 1 Fuel Pump Assembly 1 Work Cell,59B Line 1 Fuel Pump Assembly,59B Area,94301-08100,59B Components,0,1,NULL,NULL,NULL,0
293,59B Line 1 Fuel Pump Assembly 1 Work Cell,59B Line 1 Fuel Pump Assembly,59B Area,12270-5BA,5BA Components,0,0,NULL,NULL,NULL,0
948,59B Line 1 Fuel Pump Assembly 1 Work Cell,59B Line 1 Fuel Pump Assembly,59B Area,12270-6NA,59B Components,0,0,NULL,NULL,6.000000,0
