AssetTag,Description,Status,CavityCode,MacolaPart,PartName
DM0003,5PA Oil Pan die G,B,a,624-090,5PA Oil Pan
DM0006,5PA Oil Pan die I,B,a,624-090,5PA Oil Pan
DM0007,"RPY c/h IN 5, EX 5,6 die D",B,a,124-090,RPY Holder Comp No 5 in Cam
DM0007,"RPY c/h IN 5, EX 5,6 die D",B,b,129-090,RPY Holder Comp No 5 Ex Cam
DM0007,"RPY c/h IN 5, EX 5,6 die D",B,c,130-090,RPY Holder Comp No 6 Ex Cam
DM0010,5PA Oil Pan die H,C,a,624-090,5PA Oil Pan
DM0011,6B2 r/s #5 die C,B,a,629-090,6B2 HOLDER COMP NO5 R/S (DC)
DM0012,RPY Compressor Bracket die D,B,a,643-090,RPY COMPRESSOR BRACKET MPP
DM0013,RPY Cam Holder Ex #1-4 die D,B,a,125-090,RPY Holder Comp No 1 Ex Cam
DM0013,RPY Cam Holder Ex #1-4 die D,B,b,126-090,RPY Holder Comp No 2 Ex Cam
DM0013,RPY Cam Holder Ex #1-4 die D,B,c,127-090,RPY Holder Comp No 3 Ex Cam
DM0013,RPY Cam Holder Ex #1-4 die D,B,d,128-090,RPY Holder Comp No 4 Ex Cam
DM0014,5BA Side Cover die G,B,a,154-090,5BA Side Cover
DM0015,"5G0 R/S 1,2,3 Die I",B,a,578-090,5GO R/S #1    DC
DM0015,"5G0 R/S 1,2,3 Die I",B,b,579-090,5GO R/S #2    DC
DM0015,"5G0 R/S 1,2,3 Die I",B,c,580-090,5GO R/S #3    DC
DM0016,"RPY c/h IN 1,2,3,4 die D",B,a,120-090,RPY Holder Comp No 1 In Cam
DM0016,"RPY c/h IN 1,2,3,4 die D",B,b,121-090,RPY Holder Comp No 2 In Cam
DM0016,"RPY c/h IN 1,2,3,4 die D",B,c,122-090,RPY Holder Comp No 3 In Cam
DM0016,"RPY c/h IN 1,2,3,4 die D",B,d,123-090,RPY Holder Comp No 4 In Cam
DM0017,64AA Oil Pan die A,C,a,648-090,64A Oil Pan
DM0018,5J6-1 Oil Pan die H,C,a,155-090,5J6-1 OIL PAN     DC
DM0019,"59B c/h IN EX 1,5 die H",B,a,187-090,59B In Cam No 1 MPP
DM0019,"59B c/h IN EX 1,5 die H",B,b,191-090,59B In Cam No 5 MPP
DM0019,"59B c/h IN EX 1,5 die H",B,c,192-090,59B In Cam Ex 1 MPP
DM0019,"59B c/h IN EX 1,5 die H",B,d,196-090,59B In Cam Ex 5 MPP
DM0020,"59B c/h IN EX 2,3,4 die H",B,a,188-090,59B In Cam No 2 MPP
DM0020,"59B c/h IN EX 2,3,4 die H",B,b,189-090,59B In Cam No 3 MPP
DM0020,"59B c/h IN EX 2,3,4 die H",B,c,190-090,59B In Cam No 4 MPP
DM0020,"59B c/h IN EX 2,3,4 die H",B,d,193-090,59B In Cam Ex 2 MPP
DM0020,"59B c/h IN EX 2,3,4 die H",B,e,194-090,59B In Cam Ex 3 MPP
DM0020,"59B c/h IN EX 2,3,4 die H",B,f,195-090,59B In Cam Ex 4 MPP
DM0022,5BA Side Cover Die H,C,a,154-090,5BA Side Cover
DM0023,6B2 Fuel Pump die D,C,a,631-090,6B2 BASE COMP FUEL PUMP (DC)
DM0024,"59B/5PA Fuel Pump die ""N""",C,a,143-090,5PA Fuel Pump
DM0024,"59B/5PA Fuel Pump die ""N""",C,b,152-090,59B Base Comp Fuel Pump
DM0026,"5J6-1 Oil Pan die ""I""",C,a,155-090,5J6-1 OIL PAN     DC
DM0027,"RPY R/S #1 die ""G""",B,a,135-090,RPY Holder Comp No 1 Rkr Shaft
DM0028,"RPY R/S #2,3,4 die ""G""",B,a,136-090,RPY Holder Comp No 2 Rkr Shaft
DM0028,"RPY R/S #2,3,4 die ""G""",B,b,137-090,RPY Holder Comp No 3 Rkr Shaft
DM0028,"RPY R/S #2,3,4 die ""G""",B,c,138-090,RPY Holder Comp No 4 Rkr Shaft
DM0029,"RPY C/H Ex. #1-4 die ""F""",C,a,125-090,RPY Holder Comp No 1 Ex Cam
DM0029,"RPY C/H Ex. #1-4 die ""F""",C,b,126-090,RPY Holder Comp No 2 Ex Cam
DM0029,"RPY C/H Ex. #1-4 die ""F""",C,c,127-090,RPY Holder Comp No 3 Ex Cam
DM0029,"RPY C/H Ex. #1-4 die ""F""",C,d,128-090,RPY Holder Comp No 4 Ex Cam
DM0030,"RPY C/H Ex. Lwr. #1-4 die ""F""",C,a,131-090,RPY Holder Comp No 1 Exh Cam Lwr
DM0030,"RPY C/H Ex. Lwr. #1-4 die ""F""",C,b,132-090,RPY Holder Comp No 2 Exh Cam Lwr
DM0030,"RPY C/H Ex. Lwr. #1-4 die ""F""",C,c,133-090,RPY Holder Comp No 3 Exh Cam Lwr
DM0030,"RPY C/H Ex. Lwr. #1-4 die ""F""",C,d,134-090,RPY Holder Comp No 4 Exh Cam Lwr
DM0031,"6B2 R/S #5 die ""D""",C,a,629-090,6B2 HOLDER COMP NO5 R/S (DC)
DM0032,"5PA Oil Pan die ""J""",C,a,624-090,5PA Oil Pan
