AssetTag,ToolKind,Status,StatusName,Description,Family,Component,DieGeneration,Customer,CavityCount,MacolaParts,Cavities,TotalShots,GoodShots,ShotLifePlanned,OverPlannedLife,Restated,Vendor,Acquired,Source,Note
DM0001,DieMold,,Not in shots report,59B/5PA Fuel Pump die L,59B/5PA,FuelPump,L,,,,,,,,,,Davis Tool,2019-01-28,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0002,DieMold,,Not in shots report,59B/5PA Fuel Pump die M,59B/5PA,FuelPump,M,,,,,,,,,,Davis Tool,2019-01-28,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0003,DieMold,B,Backup,5PA Oil Pan die G,5PA,OilPan,G,Honda,1,624-090,624-090 5PA Oil Pan,288695,264507,200000,,,Davis Tool,2019-01-28,asset+report,
DM0004,DieMold,,Not in shots report,"59B C/H IN/EX 1,5 die G",59B,CamHolder,G,,,,,,,,,,Metts,2019-01-28,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0005,DieMold,,Not in shots report,"59B c/H IN/EX 2,3,4 die G",59B,CamHolder,G,,,,,,,,,,Metts,2019-01-28,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0006,DieMold,B,Backup,5PA Oil Pan die I,5PA,OilPan,I,Honda,1,624-090,624-090 5PA Oil Pan,246824,221468,200000,,,Hellebusch,2019-03-06,asset+report,
DM0007,DieMold,B,Backup,"RPY c/h IN 5, EX 5,6 die D",RPY,CamHolder,D,Honda,3,"124-090,129-090,130-090",124-090 RPY Holder Comp No 5 in Cam; 129-090 RPY Holder Comp No 5 Ex Cam; 130-090 RPY Holder Comp No 6 Ex Cam,194505,184442,200000,,,Accu-Die,2019-01-28,asset+report,
DM0008,DieMold,,Not in shots report,RPY R/S #1 die F,RPY,RockerShaft,F,,,,,,,,,,Davis Tool,2019-01-28,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0009,DieMold,,Not in shots report,"RPY R/S 2,3,4 die F",RPY,RockerShaft,F,,,,,,,,,,Davis Tool,2019-01-28,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0010,DieMold,C,Current,5PA Oil Pan die H,5PA,OilPan,H,Honda,1,624-090,624-090 5PA Oil Pan,209377,188327,200000,,,Davis Tool,2019-01-28,asset+report,
DM0011,DieMold,B,Backup,6B2 r/s #5 die C,6B2,RockerShaft,C,Honda,1,629-090,629-090 6B2 HOLDER COMP NO5 R/S (DC),196132,181610,150000,,,Accu-Die,2019-03-06,asset+report,
DM0012,DieMold,B,Backup,RPY Compressor Bracket die D,RPY,CompressorBracket,D,Honda,1,643-090,643-090 RPY COMPRESSOR BRACKET MPP,161026,152020,150000,,,Accu-Die,2019-03-06,asset+report,
DM0013,DieMold,B,Backup,RPY Cam Holder Ex #1-4 die D,RPY,CamHolder,D,Honda,4,"125-090,126-090,127-090,128-090",125-090 RPY Holder Comp No 1 Ex Cam; 126-090 RPY Holder Comp No 2 Ex Cam; 127-090 RPY Holder Comp No 3 Ex Cam; 128-090 RPY Holder Comp No 4 Ex Cam,179844,168610,150000,,RPY c/h EX 1-4 die D(ordered in 2018),Accu-Die,2019-03-12,asset+report,
DM0014,DieMold,B,Backup,5BA Side Cover die G,5BA,SideCover,G,Honda,1,154-090,154-090 5BA Side Cover,137606,130325,200000,,,Metts,2019-03-19,asset+report,
DM0015,DieMold,B,Backup,"5G0 R/S 1,2,3 Die I",5GO,RockerShaft,I,Honda Anna Eng Plnt,3,"578-090,579-090,580-090",578-090 5GO R/S #1    DC; 579-090 5GO R/S #2    DC; 580-090 5GO R/S #3    DC,198469,182545,150000,,,Accu-Die,2019-04-05,asset+report,
DM0016,DieMold,B,Backup,"RPY c/h IN 1,2,3,4 die D",RPY,CamHolder,D,Honda,4,"120-090,121-090,122-090,123-090",120-090 RPY Holder Comp No 1 In Cam; 121-090 RPY Holder Comp No 2 In Cam; 122-090 RPY Holder Comp No 3 In Cam; 123-090 RPY Holder Comp No 4 In Cam,255461,243714,200000,,,Accu-Die,2019-04-05,asset+report,
DM0017,DieMold,C,Current,64AA Oil Pan die A,64A,OilPan,A,Honda,1,648-090,648-090 64A Oil Pan,139908,129722,100000,YES,,Davis Tool,2019-05-20,asset+report,
DM0018,DieMold,C,Current,5J6-1 Oil Pan die H,5J6,OilPan,H,Honda Alabama,1,155-090,155-090 5J6-1 OIL PAN     DC,196600,185266,200000,,,Mangas Tool,2019-06-07,asset+report,
DM0019,DieMold,B,Backup,"59B c/h IN EX 1,5 die H",59B,CamHolder,H,Honda Anna Eng Plnt,4,"187-090,191-090,192-090,196-090",187-090 59B In Cam No 1 MPP; 191-090 59B In Cam No 5 MPP; 192-090 59B In Cam Ex 1 MPP; 196-090 59B In Cam Ex 5 MPP,225459,220773,150000,,,Accu-Die,2019-06-28,asset+report,
DM0020,DieMold,B,Backup,"59B c/h IN EX 2,3,4 die H",59B,CamHolder,H,Honda Anna Eng Plnt,6,"188-090,189-090,190-090,193-090,194-090,195-090",188-090 59B In Cam No 2 MPP; 189-090 59B In Cam No 3 MPP; 190-090 59B In Cam No 4 MPP; 193-090 59B In Cam Ex 2 MPP; 194-090 59B In Cam Ex 3 MPP; 195-090 59B In Cam Ex 4 MPP,216434,211824,150000,,,Accu-Die,2019-06-28,asset+report,
DM0021,DieMold,,Not in shots report,5BA R/S #5 Die G,5BA,RockerShaft,G,,,,,,,,,,Accu-Die,2019-09-12,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0022,DieMold,C,Current,5BA Side Cover Die H,5BA,SideCover,H,Honda,1,154-090,154-090 5BA Side Cover,323584,309252,200000,YES,,Metts,2019-09-12,asset+report,
DM0023,DieMold,C,Current,6B2 Fuel Pump die D,6B2,FuelPump,D,Honda,1,631-090,631-090 6B2 BASE COMP FUEL PUMP (DC),239473,214623,175000,YES,,Davis Tool,2019-09-27,asset+report,
DM0024,DieMold,C,Current,"59B/5PA Fuel Pump die ""N""",59B/5PA,FuelPump,N,Honda,2,"143-090,152-090",143-090 5PA Fuel Pump; 152-090 59B Base Comp Fuel Pump,205151,198276,200000,,,Davis Tool,2020-01-15,asset+report,combo die - 2 report entries summed
DM0025,DieMold,,Not in shots report,"59B/5PA Fuel Pump die ""O""",59B/5PA,FuelPump,O,,,,,,,,,,Davis Tool,2020-01-15,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0026,DieMold,C,Current,"5J6-1 Oil Pan die ""I""",5J6,OilPan,I,Honda Alabama,1,155-090,155-090 5J6-1 OIL PAN     DC,212189,193778,200000,,,Mangas Tool,2020-01-15,asset+report,
DM0027,DieMold,B,Backup,"RPY R/S #1 die ""G""",RPY,RockerShaft,G,Honda,1,135-090,135-090 RPY Holder Comp No 1 Rkr Shaft,294205,282872,175000,,,Davis Tool,2020-01-15,asset+report,
DM0028,DieMold,B,Backup,"RPY R/S #2,3,4 die ""G""",RPY,RockerShaft,G,Honda,3,"136-090,137-090,138-090",136-090 RPY Holder Comp No 2 Rkr Shaft; 137-090 RPY Holder Comp No 3 Rkr Shaft; 138-090 RPY Holder Comp No 4 Rkr Shaft,210216,204584,175000,,,Davis Tool,2020-01-15,asset+report,
DM0029,DieMold,C,Current,"RPY C/H Ex. #1-4 die ""F""",RPY,CamHolder,F,Honda,4,"125-090,126-090,127-090,128-090",125-090 RPY Holder Comp No 1 Ex Cam; 126-090 RPY Holder Comp No 2 Ex Cam; 127-090 RPY Holder Comp No 3 Ex Cam; 128-090 RPY Holder Comp No 4 Ex Cam,241586,233855,200000,YES,,Accu-Die,2020-01-15,asset+report,
DM0030,DieMold,C,Current,"RPY C/H Ex. Lwr. #1-4 die ""F""",RPY,CamHolder,F,Honda,4,"131-090,132-090,133-090,134-090",131-090 RPY Holder Comp No 1 Exh Cam Lwr; 132-090 RPY Holder Comp No 2 Exh Cam Lwr; 133-090 RPY Holder Comp No 3 Exh Cam Lwr; 134-090 RPY Holder Comp No 4 Exh Cam Lwr,326537,313906,200000,YES,,Accu-Die,2020-01-15,asset+report,
DM0031,DieMold,C,Current,"6B2 R/S #5 die ""D""",6B2,RockerShaft,D,Honda,1,629-090,629-090 6B2 HOLDER COMP NO5 R/S (DC),163200,148345,150000,,,Accu-Die,2020-01-15,asset+report,
DM0032,DieMold,C,Current,"5PA Oil Pan die ""J""",5PA,OilPan,J,Honda,1,624-090,624-090 5PA Oil Pan,136922,124753,200000,,,Hellebusch,2020-07-08,asset+report,
DM0033,DieMold,C,Current,"59B/5PA Fuel Pump die ""P""",59B/5PA,FuelPump,P,Honda,2,"143-090,152-090",143-090 5PA Fuel Pump; 152-090 59B Base Comp Fuel Pump,218619,208980,200000,,,Davis Tool,2020-07-21,asset+report,combo die - 2 report entries summed
DM0034,DieMold,C,Current,"59B/5PA Fuel Pump die ""Q""",59B/5PA,FuelPump,Q,Honda,2,"143-090,152-090",143-090 5PA Fuel Pump; 152-090 59B Base Comp Fuel Pump,191060,184627,200000,,,Davis Tool,2020-07-21,asset+report,combo die - 2 report entries summed
DM0035,DieMold,B,Backup,"59B C/H #1,5 die ""J""",59B,CamHolder,J,Honda Anna Eng Plnt,4,"187-090,191-090,192-090,196-090",187-090 59B In Cam No 1 MPP; 191-090 59B In Cam No 5 MPP; 192-090 59B In Cam Ex 1 MPP; 196-090 59B In Cam Ex 5 MPP,269450,261620,150000,,,Accu-Die,2020-07-21,asset+report,
DM0036,DieMold,B,Backup,"59B C/H #2,3,4 die ""J""",59B,CamHolder,J,Honda Anna Eng Plnt,6,"188-090,189-090,190-090,193-090,194-090,195-090",188-090 59B In Cam No 2 MPP; 189-090 59B In Cam No 3 MPP; 190-090 59B In Cam No 4 MPP; 193-090 59B In Cam Ex 2 MPP; 194-090 59B In Cam Ex 3 MPP; 195-090 59B In Cam Ex 4 MPP,280124,273207,150000,,,Accu-Die,2020-07-21,asset+report,
DM0037,DieMold,B,Backup,"5BA R/S #5 die ""H""",5BA,RockerShaft,H,Honda,1,140-090,140-090 5BAA Holder Comp #5 R/S,180963,171698,150000,,,Accu-Die,2020-07-21,asset+report,
DM0038,DieMold,C,Current,"5GO R/S #1,2,3 die ""J""",5GO,RockerShaft,J,Honda Anna Eng Plnt,3,"578-090,579-090,580-090",578-090 5GO R/S #1    DC; 579-090 5GO R/S #2    DC; 580-090 5GO R/S #3    DC,306637,283905,150000,YES,,Accu-Die,2020-08-12,asset+report,
DM0039,DieMold,C,Current,"RPY Compressor Bracket die ""E""",RPY,CompressorBracket,E,Honda,1,643-090,643-090 RPY COMPRESSOR BRACKET MPP,243415,232657,150000,YES,,Accu-Die,2020-08-12,asset+report,
