Customer,StatusCode,Status,PartCode6,ModelIdentifier,PartDescription,Die,TotalShots,GoodShots,ShotLifePlanned
Aisin,B,Backup,472,CIVIC,CIVIC RNA WATER PUMP,7,232450,217440,170000
American Honda,C,Current,157,5K8,5K8 Oil Pan,C,132560,118570,135000
Astemo,W,Waiting for Approval,680,Case,Case comp Intermediate Dual,A,1633,1270,0
Astemo,W,Waiting for Approval,679,CASE,CASE COMP INTERMEDIATE SINGLE,A,10070,8864,0
Astemo,W,Waiting for Approval,682,Cover,Cover Inverter Dual,A,1962,1598,0
Astemo,W,Waiting for Approval,681,Cover,Cover Inverter Single,A,5051,4607,0
Astemo,W,Waiting for Approval,683,Inner,Inner Housing,A,19844,17493,0
Elesys,B,Backup,545,HEAT,HEAT SINK (ELESYS),II/JJ,161044,149637,150000
Elesys,C,Current,545,HEAT,HEAT SINK (ELESYS),UU/VV,97756,87569,150000
EMP,C,Current,150,B,B Adaptor DC,1,129895,24216,150000
EMP,C,Current,151,C,C Adaptor DC,1,159435,78477,150000
FPI,B,Backup,450,5MH,5MH Oil Pan DC,A,112426,102769,100000
FPI,C,Current,450,5MH,5MH Oil Pan DC,B,126752,118066,135000
Honda,C,Current,152,59B,59B Base Comp Fuel Pump,N,25493,24553,200000
Honda,C,Current,152,59B,59B Base Comp Fuel Pump,P,23758,22792,200000
Honda,C,Current,152,59B,59B Base Comp Fuel Pump,Q,25227,24374,200000
Honda,C,Current,152,59B,59B Base Comp Fuel Pump,R,11188,10598,200000
Honda,C,Current,152,59B,59B Base Comp Fuel Pump,S,87352,83923,200000
Honda,W,Waiting for Approval,152,59B,59B Base Comp Fuel Pump,T,54917,52698,200000
Honda,W,Waiting for Approval,152,59B,59B Base Comp Fuel Pump,U,16766,15776,200000
Honda,W,Waiting for Approval,152,59B,59B Base Comp Fuel Pump,V,0,0,0
Honda,B,Backup,154,5BA,5BA Side Cover,G,137606,130325,200000
Honda,C,Current,154,5BA,5BA Side Cover,H,323584,309252,200000
Honda,W,Waiting for Approval,154,5BA,5BA Side Cover,I,113322,107702,0
Honda,B,Backup,140,5BAA,5BAA Holder Comp #5 R/S,H,180963,171698,150000
Honda,B,Backup,140,5BAA,5BAA Holder Comp #5 R/S,I,191368,185127,150000
Honda,W,Waiting for Approval,140,5BAA,5BAA Holder Comp #5 R/S,J,229282,214480,150000
Honda,W,Waiting for Approval,140,5BAA,5BAA Holder Comp #5 R/S,K,329191,314930,0
Honda,W,Waiting for Approval,140,5BAA,5BAA Holder Comp #5 R/S,L,171864,166218,0
Honda,W,Waiting for Approval,140,5BAA,5BAA Holder Comp #5 R/S,M,192332,186005,0
Honda,W,Waiting for Approval,140,5BAA,5BAA Holder Comp #5 R/S,N,131329,125543,0
Honda,W,Waiting for Approval,140,5BAA,5BAA Holder Comp #5 R/S,O,82664,78280,0
Honda,C,Current,156,5J6-A000,5J6-A000 Oil Pan,C,12839,11192,135000
Honda,C,Current,510,5LA,5LA Oil Pan,D,222392,200655,135000
Honda,B,Backup,510,5LA,5LA Oil Pan,H,212540,186382,135000
Honda,C,Current,143,5PA,5PA Fuel Pump,N,179658,173723,200000
Honda,C,Current,143,5PA,5PA Fuel Pump,P,194861,186188,200000
Honda,C,Current,143,5PA,5PA Fuel Pump,Q,165833,160253,200000
Honda,C,Current,143,5PA,5PA Fuel Pump,R,142055,137995,200000
Honda,C,Current,143,5PA,5PA Fuel Pump,S,282319,271647,200000
Honda,W,Waiting for Approval,143,5PA,5PA Fuel Pump,T,224856,215002,200000
Honda,W,Waiting for Approval,143,5PA,5PA Fuel Pump,U,187121,179205,200000
Honda,W,Waiting for Approval,143,5PA,5PA Fuel Pump,V,89420,84873,0
Honda,B,Backup,624,5PA,5PA Oil Pan,G,288695,264507,200000
Honda,C,Current,624,5PA,5PA Oil Pan,H,209377,188327,200000
Honda,B,Backup,624,5PA,5PA Oil Pan,I,246824,221468,200000
Honda,C,Current,624,5PA,5PA Oil Pan,J,136922,124753,200000
Honda,C,Current,624,5PA,5PA Oil Pan,K,42055,38134,200000
