Kind,Sheet,Row,Description,HondaPartNumber,Macola,FGAssemblyName,Qty,ResolvedParent,ResolvedChild,ResolvedVia,Outcome,Note
Macola,SUPPLY PARTS,14,,96211-09000,439,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,17,,90004PE2 0050,390,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,26,,146315GO A000,619,,,,,part-number,MATCHED,O/0 fold
Macola,SUPPLY PARTS,27,,146325GO A000,620,,,,,part-number,MATCHED,O/0 fold
Macola,SUPPLY PARTS,28,,146335GO A000,621,,,,,part-number,MATCHED,O/0 fold
Macola,SUPPLY PARTS,29,,146345GO A000,622,,,,,part-number,MATCHED,O/0 fold
Macola,SUPPLY PARTS,34,,11221-64AA-A010,911,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,36,,95701-06020-08,914,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,39,,94301-08140,308,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,46,,94301-12160,310,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,57,,90009-R70-A000,433,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,76,,94109-14000,327,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,94,,92900-06014-1B,355,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,96,,19517-PD6-3000,356,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,99,,90015-PH1-0130,363,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,115,,94301-08100,366,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,123,,94301-10120,388,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,139,,15123-PCX-0030-H1,434,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,145,,90701-5GO -A000,610,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,150,,92900-06050-0B,900,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,152,,19305-5K0-A000,916,,,,,part-number,MATCHED,
Macola,SUPPLY PARTS,153,,91302-RZP-0000,922,,,,,part-number,MATCHED,
Macola,ALUMINUM,2,ADC12 ALUMINUM,ADC12,300,ASTEMO CASE AND COVER,,,,,HELD-BACK,Raw Material Tracking is FUTURE (Scope Matrix row 21); SQL emitted commented out
Macola,ALUMINUM,4,HD2BS ALUMINUM,HD2BS,301,ALL PARTS (EXCEPT ASTEMO HOUSING BASE HOLSET),,,,,HELD-BACK,Raw Material Tracking is FUTURE (Scope Matrix row 21); SQL emitted commented out
Macola,ALUMINUM,6,HD2G ALUMINUM,HD2G,303,TK8 / SZA / HOLSET,,,,,HELD-BACK,Raw Material Tracking is FUTURE (Scope Matrix row 21); SQL emitted commented out
Macola,ALUMINUM,8,NH41 ALUMINUM,NH41,304,ASTEMO INNER HOUSING,,,,,HELD-BACK,Raw Material Tracking is FUTURE (Scope Matrix row 21); SQL emitted commented out
Macola,SUPPLY PARTS,2,ENGINE COOLER,15500-RPY-G010-M4,444,,1,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,3,6 X 16 FLANGE BOLT,95701-06016-08,443,,5,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,4,BAFFLE PLATE,11221-59B-0000,357,,1,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,6,BAFFLE PLATE,11221-5R0-0000,904,,1,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,7,PLATE DIFF LUBE,22792-5MX-A000,901,,1,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,10,8.8X1.9 ORING,91308-PH9-0000,902,,2,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,13,17.8 X 2.4 ORING,11203-PWA-0031,905,,1,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,18,THRUST WASHER,14646-R70-A000,389,,6,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,19,ROCKER ARM EX 14612,14612-5G0-A000,612,,3,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,20,ROCKER ARM EX 14614,14614-5G0-A000,613,,3,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,21,ROCKER ARM IN 14640,14640-5G0-A000,614,,3,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,22,ROCKER ARM IN 14620,14620-5G0-A000,615,,3,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,23,ROCKER ARM EX 14624,14624-5G0-A000,616,,3,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,24,ROCKER ARM EX 14627,14627-5G0-A010,617,,3,,,,UNMATCHED,Honda Part# has no catalog counterpart
Macola,SUPPLY PARTS,25,Rocker Arm Spring 14645,14645-5G0-A000,618,,3,,,,UNMATCHED,Honda Part# has no catalog counterpart
