1	MPP-ENT	Madison Precision Products	Organization		1	0
2	MPP-MAD	Madison Facility	Facility	MPP-ENT	1	0
3	DC1	Die Cast 1	ProductionArea	MPP-MAD	1	0
4	DC1-M01	Machine 01	DieCastMachine	DC1	1	0
5	DC1-M02	Machine 02	DieCastMachine	DC1	2	0
6	DC1-M03	Machine 03	DieCastMachine	DC1	3	0
7	DC1-M04	Machine 04	DieCastMachine	DC1	4	0
8	DC1-M05	Machine 05	DieCastMachine	DC1	5	0
9	DC1-M06	Machine 06	DieCastMachine	DC1	6	0
10	DC1-M07	Machine 07	DieCastMachine	DC1	7	0
11	DC1-M08	Machine 08	DieCastMachine	DC1	8	0
12	DC1-M09	Machine 09	DieCastMachine	DC1	9	0
13	DC1-M10	Machine 10	DieCastMachine	DC1	10	0
14	DC1-M11	Machine 11	DieCastMachine	DC1	11	0
15	DC1-T1	Terminal	Terminal	DC1	12	0
16	DC1-T1-P1	P - 001	Printer	DC1-T1	1	0
17	DC2	Die Cast 2	ProductionArea	MPP-MAD	2	0
18	DC2-M01	Machine 01	DieCastMachine	DC2	1	0
19	DC2-M02	Machine 02	DieCastMachine	DC2	2	0
20	DC2-M03	Machine 03	DieCastMachine	DC2	3	0
21	DC2-T1	Terminal	Terminal	DC2	4	0
22	DC2-T1-P1	P - 002	Printer	DC2-T1	1	0
23	DC3	Die Cast 3	ProductionArea	MPP-MAD	3	0
24	DC3-M01	Machine 01	DieCastMachine	DC3	1	0
25	DC3-M02	Machine 02	DieCastMachine	DC3	2	0
26	DC3-M03	Machine 03	DieCastMachine	DC3	3	0
27	DC3-M04	Machine 04	DieCastMachine	DC3	4	0
28	DC3-M05	Machine 05	DieCastMachine	DC3	5	0
29	DC3-T1	Terminal	Terminal	DC3	6	0
30	DC3-T1-P1	P - 003	Printer	DC3-T1	1	0
31	DC4	Die Cast 4	ProductionArea	MPP-MAD	4	0
32	DC4-M01	Machine 01	DieCastMachine	DC4	1	0
33	DC4-M02	Machine 02	DieCastMachine	DC4	2	0
34	DC4-M03	Machine 03	DieCastMachine	DC4	3	0
35	DC4-T1	Terminal	Terminal	DC4	4	0
36	DC4-T1-P1	P - 004	Printer	DC4-T1	1	0
37	TRIM1	Trim Shop 1	ProductionArea	MPP-MAD	5	0
38	TRIM1-T1	Terminal	Terminal	TRIM1	1	0
39	TRIM1-T1-P1	P - 005	Printer	TRIM1-T1	1	0
40	TRIM1-P01	Press 01	TrimPress	TRIM1	1	0
41	TRIM1-P02	Press 02	TrimPress	TRIM1	2	0
42	TRIM1-P03	Press 03	TrimPress	TRIM1	3	0
43	TRIM2	Trim Shop 2	ProductionArea	MPP-MAD	6	0
44	TRIM2-T1	Terminal	Terminal	TRIM2	1	0
45	TRIM2-T1-P1	P - 006	Printer	TRIM2-T1	1	0
46	TRIM2-P01	Press 01	TrimPress	TRIM2	1	0
47	TRIM2-P02	Press 02	TrimPress	TRIM2	2	0
48	TRIM2-P03	Press 03	TrimPress	TRIM2	3	0
49	MA1	Machining & Assembly 1	ProductionArea	MPP-MAD	7	0
50	MA1-COMPBR	RPY Comp bracket	ProductionLine	MA1	1	0
51	MA1-COMPBR-MIN	Machining In	Terminal	MA1-COMPBR	1	0
52	MA1-COMPBR-MIN-P1	P - 007	Printer	MA1-COMPBR-MIN	1	0
53	MA1-COMPBR-AOUT	Assembly Out	Terminal	MA1-COMPBR	2	0
54	MA1-COMPBR-AOUT-P1	P - 008	Printer	MA1-COMPBR-AOUT	1	0
55	MA1-6MD	6MD Manifold Plate	ProductionLine	MA1	2	0
56	MA1-6MD-MIN	Machining In	Terminal	MA1-6MD	1	1
57	MA1-6MD-MIN-P1	P - 009	Printer	MA1-6MD-MIN	1	1
58	MA1-6MD-AOUT	Assembly Out	Terminal	MA1-6MD	1	0
59	MA1-6MD-AOUT-P1	P - 010	Printer	MA1-6MD-AOUT	1	0
60	MA1-FPRPY	Fuel Pump (RPY 66v)	ProductionLine	MA1	3	0
61	MA1-FPRPY-MIN	Machining In	Terminal	MA1-FPRPY	1	0
62	MA1-FPRPY-MIN-P1	P - 011	Printer	MA1-FPRPY-MIN	1	0
63	MA1-FPRPY-MOUT	Machining Out	Terminal	MA1-FPRPY	2	1
64	MA1-FPRPY-MOUT-P1	P - 012	Printer	MA1-FPRPY-MOUT	1	1
65	MA1-FPRPY-AFIN	Assembly Out	Terminal	MA1-FPRPY	2	0
66	MA1-FPRPY-AFIN-P1	P - 013	Printer	MA1-FPRPY-AFIN	1	0
67	MA1-FP6NA	Fuel Pump (6NA 6VJ)	ProductionLine	MA1	4	0
68	MA1-FP6NA-MIN	Machining In	Terminal	MA1-FP6NA	1	0
69	MA1-FP6NA-MIN-P1	P - 014	Printer	MA1-FP6NA-MIN	1	0
70	MA1-FP6NA-MOUT	Machining Out	Terminal	MA1-FP6NA	2	0
71	MA1-FP6NA-MOUT-P1	P - 015	Printer	MA1-FP6NA-MOUT	1	0
72	MA1-FP6NA-AFIN	Assembly Out	Terminal	MA1-FP6NA	3	0
73	MA1-FP6NA-AFIN-P1	P - 016	Printer	MA1-FP6NA-AFIN	1	0
74	MA1-5GOR	5G0 Rear	ProductionLine	MA1	5	0
75	MA1-5GOR-MIN	Machining In	Terminal	MA1-5GOR	1	0
76	MA1-5GOR-MIN-P1	P - 017	Printer	MA1-5GOR-MIN	1	0
77	MA1-5GOR-MOUT	Machining Out	Terminal	MA1-5GOR	2	1
78	MA1-5GOR-MOUT-P1	P - 018	Printer	MA1-5GOR-MOUT	1	1
79	MA1-5GOR-ASER	Assembly (Serialized)	Terminal	MA1-5GOR	2	0
80	MA1-5GOR-ASER-P1	P - 019	Printer	MA1-5GOR-ASER	1	0
81	MA1-5GOF	5G0 Front	ProductionLine	MA1	6	0
82	MA1-5GOF-MIN	Machining In	Terminal	MA1-5GOF	1	0
83	MA1-5GOF-MIN-P1	P - 020	Printer	MA1-5GOF-MIN	1	0
84	MA1-5GOF-MOUT	Machining Out	Terminal	MA1-5GOF	2	1
85	MA1-5GOF-MOUT-P1	P - 021	Printer	MA1-5GOF-MOUT	1	1
86	MA1-5GOF-ASER	Assembly (Serialized)	Terminal	MA1-5GOF	2	0
87	MA1-5GOF-ASER-P1	P - 022	Printer	MA1-5GOF-ASER	1	0
88	MA2	Machining & Assembly 2	ProductionArea	MPP-MAD	8	0
89	MA2-RPY6B2	RPY 6b2 line2	ProductionLine	MA2	3	0
90	MA2-RPY6B2-MIN	Machining In	Terminal	MA2-RPY6B2	1	0
91	MA2-RPY6B2-MIN-P1	P - 023	Printer	MA2-RPY6B2-MIN	1	0
92	MA2-RPY6B2-MOUT	Machining Out	Terminal	MA2-RPY6B2	2	0
